,Book Title,Word Count,Sentence Count,AVG Word Length,AVG Sentence Length,Total Syllables,MONOSYLL,POLYSYLL,NTR,VTR,TTR,Root TTR,Corrected TTR,BiLog TTR,LD,FWTR,MIN,MAX
0,Aginaldo,479,49,5.062630480167015,9.775510204081632,937,165,311,0.2280130293159609,0.08631921824104234,0.017915309446254073,0.44392387174919395,0.3139015800444423,0.37350423164437313,0.41205211726384366,0.05211726384364821,3,10
1,Alamat ng Lansones,512,52,5.154296875,9.846153846153847,1104,158,354,0.15932203389830507,0.16101694915254236,0.01694915254237288,0.41169348479630913,0.291111254869791,0.36089982279759164,0.39661016949152544,0.030508474576271188,8,16
2,Andres Bonifacio - 1,610,21,5.860655737704918,29.047619047619047,1521,212,401,0.2072072072072072,0.12012012012012012,0.015015015015015015,0.3874921291460643,0.2739983121755955,0.3541735885770268,0.3888888888888889,0.05405405405405406,6,10
3,Ang Aklatang Pusa,958,72,5.38517745302714,13.319444444444445,2096,297,653,0.21179624664879357,0.1126005361930295,0.009830205540661306,0.3288347015557731,0.23252124735954172,0.341571243920661,0.40125111706881145,0.020554066130473638,8,12
4,Ang Anghel ng Santa Ana,920,85,5.2402173913043475,10.905882352941177,2018,320,606,0.17235023041474654,0.10506912442396313,0.010138248847926268,0.33394720739540396,0.23613633490760053,0.34307916011294953,0.41382488479262675,0.022119815668202765,8,12
5,Ang Ating mga Ninuno - 1,503,49,5.0178926441351885,10.26530612244898,1073,164,339,0.21951219512195122,0.09930313588850175,0.01916376306620209,0.45913112912132525,0.32465473485552543,0.3774650027888618,0.39547038327526135,0.003484320557491289,6,10
6,Ang Ating mga Ninuno - 2,2054,130,5.0146056475170395,15.8,4381,724,1329,0.21811057901610797,0.10100130605137135,0.00478885502829778,0.22951558838404762,0.16229202893438047,0.30983124183785193,0.4005224205485416,0.00914235959947758,11,16
7,Ang Batang Maraming Bawal,881,61,5.005675368898978,14.557377049180328,1843,330,556,0.13649289099526066,0.10426540284360189,0.01042654028436019,0.3386619894938936,0.23947018930125946,0.34446103958000157,0.36682464454976305,0.035071090047393366,6,12
8,Ang Biyoletang Tren_ Maglakbay sa Kaharian ng Ligaya,142,14,5.619718309859155,10.142857142857142,280,72,70,0.32407407407407407,0.13425925925925927,0.037037037037037035,0.5443310539518174,0.3849001794597505,0.3868528072345415,0.4861111111111111,0.037037037037037035,3,10
9,Ang Dyip ni Mang Tomas,1260,89,5.112698412698412,14.258426966292134,2596,510,758,0.19131614654002713,0.09972862957937585,0.007462686567164179,0.2865127435888428,0.20259510388803326,0.32867082602202574,0.40366350067842605,0.015603799185888738,8,16
10,Ang Kalakalang Galleon - 1,698,29,5.408309455587393,24.06896551724138,1602,235,459,0.2320730117340287,0.09517601043024772,0.014341590612777053,0.3971869795707654,0.2808536066534909,0.36099360744003284,0.4028683181225554,0.02607561929595828,6,10
11,Ang Kamatis ni Peles,342,18,5.464912280701754,19.444444444444443,756,122,232,0.16273584905660377,0.12971698113207547,0.025943396226415096,0.5342072242964953,0.3777415508588948,0.3963637886764436,0.3938679245283019,0.05660377358490566,8,16
12,Ang Kastilyo ni Angalo_ Bakit Maalat ang Tubig ng Dagat,486,39,4.866255144032922,12.461538461538462,981,171,315,0.2331511839708561,0.1111111111111111,0.018214936247723135,0.4267895997763199,0.30178582014172844,0.3650204755591982,0.4116575591985428,0.029143897996357013,3,10
13,Ang Pag-itim ng Uwak at Ang Alamat ng Pagputi ng Kalapati,462,39,4.915584415584416,11.846153846153847,951,166,296,0.21467889908256882,0.13761467889908258,0.02018348623853211,0.4711882305659313,0.3331803930484605,0.380570828932065,0.44954128440366975,0.003669724770642202,7,9
14,Ang Paglalakbay ni Magallanes_ Paano Niya Natuklasan Ang Pilipinas (6-10),729,47,5.285322359396433,15.51063829787234,1609,244,476,0.2186335403726708,0.1093167701863354,0.013664596273291925,0.38769905726763276,0.2741446324535748,0.35838466569316857,0.3937888198757764,0.03229813664596273,6,10
15,Ang Pananakop ng mga Ingles (6-10),657,36,5.076103500761035,18.25,1412,216,438,0.20994475138121546,0.12292817679558012,0.015193370165745856,0.40881178043594146,0.2890735821752002,0.36415660419723583,0.39917127071823205,0.020718232044198894,6,10
16,Ang Pipit-Puso ni Emperador Wu,799,70,5.047559449311639,11.414285714285715,1685,294,502,0.21075740944017562,0.1251372118551043,0.012074643249176729,0.3644462590574144,0.2577024211575669,0.35187910751321766,0.4445664105378705,0.0021953896816684962,3,10
