Word,Frequency
pasko,21
y,12
ninong,7
bukas,5
berting,5
piso,5
aginaldo,5
si,5
nang,4
lang,4
mahirap,4
naisip,3
ama,3
wala,3
galante,3
ina,3
pag,3
regalo,3
damit,3
diyos,2
baril,2
binyagan,2
bukod,2
punit,2
masaya,2
pabrika,2
limampung,2
bigay,2
laruan,2
inaantok,2
ibang,2
aanhin,2
rin,2
kayod,1
kuya,1
magkatipon,1
suot,1
kapalit,1
ate,1
magandang,1
mainam,1
mas,1
baka,1
nakasasakit,1
maingay,1
komiks,1
sabik,1
koboy,1
tatanggapin,1
tiyak,1
hilingin,1
naman,1
naglalaba,1
asong,1
paparito,1
pagdating,1
kaparis,1
abala,1
namang,1
malulutong,1
pang,1
arturo,1
nagbigay,1
popular,1
kumpare,1
buong,1
baryo,1
sumasapit,1
sampung,1
bagong,1
pagsapit,1
sampu,1
singko,1
kuripot,1
nagtatago,1
ngayong,1
magmano,1
tuloy,1
lagi,1
akong,1
parti,1
ya,1
pistang,1
darating,1
masusulsihan,1
maghapong,1
pamilya,1
isip,1
hihilingin,1
n,1
bola,1
nagsabi,1
kendi,1
hatinggabi,1
tanong,1
nasan,1
sagot,1
nasa,1
obertaym,1
saka,1
muling,1
nagbibinyag,1
okasyon,1
parol,1
salabat,1
busog,1
gutom,1
puso,1
sumisigla,1
meryenda,1
paglabas,1
misa,1
bintana,1
itong,1
t,1
pinto,1
bati,1
kulay,1
anyo,1
naglalaro,1
pagkakasabit,1
parang,1
suman,1
buti,1
belen,1
matulog,1
bango,1
palay,1
hinog,1
ani,1
sapagkat,1
bakasyon,1
pasok,1
masarap,1
balot,1
pasasalamat,1
kumot,1
bangon,1
magbihis,1
utos,1
tawag,1
kampana,1
halina,1
magsimba,1
sinasabing,1
itinatanghal,1
higit,1
sobrang,1
pagkaing,1
tambak,1
taon,1
napigil,1
kamay,1
bibig,1
puputok,1
tiyan,1
paghatset,1
adobo,1
siyempre,1
di,1
kumpleto,1
diwa,1
raw,1
lamig,1
kaming,1
inaanak,1
litson,1
notse,1
sanggol,1
karoling,1
hesus,1
sabsaban,1
sagisag,1
pista,1
bata,1
mahal,1
pobre,1
dukha,1
pananapatan,1
mangalantog,1
saliw,1
kuleleng,1
tansan,1
sintunado,1
kanta,1
tugtog,1
ngalan,1
libreng,1
sumolo,1
