Word,Frequency
lansones,17
babae,12
tao,8
magnanakaw,8
nang,6
puno,5
bunga,4
kumain,4
namatay,4
mahiwagang,4
pumitas,4
nagulat,3
kinain,3
burol,3
taong,3
punong,3
lason,3
bibig,2
lumapit,2
biglang,2
bumula,2
pananim,2
kainin,2
nawala,2
natuyo,2
bata,2
hayop,2
kayo,2
naisip,2
tagtuyot,2
prutas,2
gutom,2
luzon,2
kumakanta,2
bungang,2
kalabaw,2
hitik,2
pagkain,2
katimugang,2
maraming,2
pagod,2
humahabol,2
itong,2
inaasahan,1
ninyo,1
masarap,1
mamamatay,1
nangyari,1
nagugutom,1
halikayo,1
halip,1
kumakain,1
mamatay,1
nagpatuloy,1
matakot,1
kayong,1
magsalita,1
humarap,1
masigla,1
natulala,1
noong,1
bangkay,1
ayaw,1
ninyong,1
buong,1
popular,1
lumaon,1
matinding,1
nagligtas,1
paboritong,1
sinabi,1
totoo,1
napatunayan,1
iyan,1
palatandaang,1
kurot,1
bakas,1
tinig,1
ring,1
narinig,1
mangyari,1
mabilis,1
nakatiis,1
di,1
nanunubok,1
naman,1
inisip,1
naghanap,1
nagtatakang,1
y,1
pagkasabi,1
muling,1
tiyak,1
nakaligtas,1
hangin,1
pagkamatay,1
kumalat,1
napansin,1
ayos,1
nakitang,1
pagdating,1
nagkikisay,1
damuhan,1
bumagsak,1
katawan,1
nanginig,1
kaniyang,1
sumuka,1
matapos,1
nakaramdam,1
kaniya,1
lilim,1
sumilong,1
pinapansin,1
karaniwang,1
sanga,1
lupa,1
sumayad,1
halos,1
ginto,1
kulay,1
balita,1
wala,1
dinatnan,1
nangahas,1
lugar,1
makarating,1
sinundan,1
kilos,1
anyo,1
babaeng,1
tumatakbo,1
kasuotan,1
manipis,1
napansing,1
hapon,1
kundi,1
araw,1
makain,1
nagkasakit,1
bukid,1
nabitak,1
sapa,1
ulan,1
natatakot,1
ibon,1
pati,1
paglilim,1
iniwasan,1
magpunta,1
kapuluan,1
