Word,Frequency
bonifacio,20
si,13
katipunan,9
aguinaldo,6
samahan,5
pangkat,4
magkapatid,4
di,4
andres,4
silang,4
pagkaraan,3
kay,3
gregoria,3
sina,3
supremo,3
rebolusyon,2
liga,2
espanyol,2
dalawang,2
procopio,2
ikinasal,2
layunin,2
monumento,2
republika,2
baston,2
pilipino,2
katipunero,2
cavite,2
bayan,2
kamatayan,2
kilusang,2
lihim,2
pang,2
pamahalaan,2
labanan,2
wala,2
nang,2
mamatay,2
dula,2
sumapi,1
nangalaga,1
alituntunin,1
baril,1
alinsunod,1
mahalagang,1
kagamitan,1
dokumento,1
pupunta,1
binondo,1
anak,1
kalagayan,1
gabi,1
nagpulong,1
makabayang,1
itatag,1
tinawag,1
itong,1
kataastaasang,1
kagalanggalang,1
maghimagsik,1
simbahan,1
espanya,1
palayain,1
pinamumunuan,1
nakilala,1
tumakas,1
de,1
jesus,1
niligawan,1
nagtagal,1
natuklasan,1
san,1
ibang,1
ihiniwalay,1
paglilitis,1
napatunayang,1
nagkasala,1
hinatulan,1
alam,1
hatol,1
dinala,1
bundok,1
tala,1
natiyak,1
lumitis,1
papatayin,1
ayon,1
tumakbo,1
ngunit,1
nasundan,1
kawal,1
binaril,1
nagwakas,1
buhay,1
araw,1
konsehong,1
kasamahan,1
unang,1
pugadlawin,1
ipinasiya,1
simulan,1
himagsikan,1
juan,1
umurong,1
lakas,1
kalaban,1
nabigo,1
pagsalakay,1
bumuo,1
mabilis,1
namang,1
kumalat,1
nilitis,1
salang,1
pagtataksil,1
pagtatangkang,1
ibagsak,1
tauhang,1
makababago,1
iniutos,1
kundi,1
rin,1
nagtatrabahong,1
bodegero,1
nagtigil,1
pagtitinda,1
mahirap,1
lang,1
pinilit,1
matuto,1
sariling,1
nagbasa,1
pagtatanghal,1
gumanap,1
dulang,1
kaibigan,1
teatro,1
sumikat,1
naman,1
emilio,1
aguinaldobilang,1
kompanya,1
mabuhay,1
reporma,1
nagtrabaho,1
galing,1
hilaga,1
tiyak,1
madadaanan,1
matayog,1
lunsod,1
larawan,1
kaapihan,1
paghihimagsik,1
pananakop,1
monumentong,1
sagisag,1
kabayanihan,1
kasamang,1
ba,1
ninyo,1
bata,1
magulang,1
huminto,1
lider,1
panalo,1
hukbokaya,1
maraming,1
napagkasunduan,1
agad,1
pulong,1
naic,1
nagtatag,1
hiwalay,1
malaking,1
panganib,1
pamumuno,1
maynila,1
paghuli,1
tauhan,1
lumaganap,1
propaganda,1
madali,1
naunawaan,1
mason,1
la,1
naisip,1
galit,1
siyang,1
posisyon,1
igagalang,1
humahanga,1
pagkakasundong,1
nahati,1
magdiwang,1
kumbensiyon,1
tejeros,1
tumayong,1
tagapangulo,1
mapagkakasunduan,1
magdalo,1
muna,1
pilipinas,1
nagdaos,1
pangulo,1
kumbensiyong,1
mahalal,1
direktor,1
interyor,1
dakilang,1
