Word,Frequency
nagsimula,2
ang,60
lahat,2
sa,54
masukal,2
na,38
bakuran,5
ni,8
aling,13
salvacion,13
.,81
dahil,4
laging,2
madilim,1
tahanan,5
niya,7
",",55
tinatambakan,1
ng,61
mga,39
tao,3
lote,1
sari-saring,1
basura,3
takot,1
si,11
bibihira,1
siyang,2
lumabas,2
kaya,2
'di,1
napapansin,1
tambak,1
mas,2
nanaisin,1
pa,1
niyang,11
makipaghuntahan,1
aklat,5
isang,17
hatinggabi,1
walang,2
tigil,1
salimbayang,1
ngiyaw,1
kaniyang,6
napilitang,1
tinuklas,1
kung,3
saan,1
nagmumula,1
ingay,1
may,10
kumaluskos,1
naggalawan,1
tuyong,1
dahon,1
nang,9
lapitan,1
tumambad,1
apat,1
kuting,6
kahon,3
sapatos,1
kahit,1
hindi,9
naging,3
ina,1
lumitaw,1
katangian,1
mapagkalinga,1
yata,1
puso,1
',4
y,4
matutunaw,1
nagsusumamong,1
titig,1
alintanang,1
itim,2
ito,6
pamahiin,1
marami,2
nagdadala,1
sila,5
kamalasan,1
dalidali,1
kinuha,1
at,11
dinala,1
doon,1
alamat,1
kumalat,2
balitang,1
nais,2
kang,1
iligaw,1
itapon,1
mo,2
kanto,1
pook,2
palaris,2
doo,1
aleng,1
kukupkop,1
di,2
kanais-nais,1
alagain,1
malagim,1
tsismis,1
mula,1
insidenteng,1
iyon,1
naglalako,1
raw,1
siopao,1
binondo,1
totoo,1
giliw,2
pusa,22
dati,1
estante,1
ay,5
napalitan,1
aparador,1
tokador,1
kabinet,1
mumunting,1
silid,1
sarisaring,1
namakyaw,1
siya,6
mapag-alaman,1
mahilig,1
sumiksik,1
dito,1
alaga,1
retiradong,1
librarian,3
kaalaman,1
nakaisip,1
paraan,1
upang,4
isaayos,1
koleksiyon,1
nakasalansan,1
ayon,2
taas,1
gaya,1
ginagawa,1
natin,1
igrinupo,1
edad,1
personalidad,1
karanasan,1
natatanging,1
talento,1
pahina,1
katalogo,1
makikita,1
ilang,5
tala,1
:,2
miming,1
3,1
buwan,4
malambing,1
bola-bola,2
2,2
taon,2
pintor,5
mananayaw,1
takipsilim,1
6,1
(,3
?,3
),3
bulag,1
pero,2
matalas,1
daluyong,3
7,1
antukin,1
batugan,1
kahel,1
linggo,3
mang-aawit,1
jinky,1
8,1
pilay,1
binti,1
naglaon,1
ginawang,1
aklatang,7
bukas,1
sinumang,2
manghiram,2
``,9
'',9
pusang,7
room,1
use,1
only,1
lihim,1
paborito,1
maaaring,1
hiramin,1
araw,3
o,3
depende,1
pangangailangan,1
humihiram,1
multa,1
nahuhuling,1
magsauli,1
kalderong,1
paksiw,1
bakuna,1
boteng,1
gatas,1
bolang,1
estambre,1
iyong,1
panggantsilyo,1
posteng,1
pangkalmot,1
pagbubukas,1
hinayaan,1
mahanap,1
sinuman,1
nababagay,1
naniniwala,1
katapat,1
isa,2
unang,1
bumisita,2
mr.,1
hernandez,1
mayari,1
tabi,1
dagat,1
seafood,1
restaurant,1
naisip,1
pitong,1
suwerteng,1
numero,1
pantaboy,1
daga,1
pang-akit,1
suwerte,1
natapos,1
hapon,2
nanghiram,1
labing-isang,1
sarikulay,1
lunas,1
natitinik,1
payo,1
ipahid,1
lang,3
kanilang,1
paa,1
lalamunan,1
malulusaw,1
tinik,1
sumunod,1
mag-anak,1
naghahanap,1
bagong,3
miyembro,1
pamilya,2
pagkaraan,1
oras,2
napili,1
nila,4
lobo,1
nasa,1
sulok,1
gumagalaw,1
kapag,2
naghihikab,1
nag-iinat,1
bakit,1
tayo,2
hihiram,1
malapit,1
mamatay,1
pagtataka,1
anak,2
nasaktan,1
narinig,1
wala,1
ba,1
talagang,1
halaga,2
nagkakaedad,1
pinangaralan,1
magulang,2
kailangan,1
para,1
magkapamilya,1
dapithapon,1
buhay,1
nahiwagaan,1
ngunit,4
naliwanagan,1
naman,2
isipan,1
bata,2
bumisitang,1
dala,1
kagamitan,1
nagtungo,1
maghanap,1
inspirasyon,1
lilikha,1
ako,1
obra,1
maestra,1
pangako,1
sarili,1
nilatag,1
gamit,1
magaslaw,1
lumublob,1
lata,1
pintura,1
nag-ballet,1
kanbas,1
saka,1
nagmarka,1
lagdang,1
kalmot,2
nabigla,1
nasaksihan,1
madumi,1
