Word,Frequency
ninuno,26
hayop,18
lugar,13
tao,13
nang,11
pang,10
gaya,9
kasangkapang,8
silang,8
bayan,8
yari,8
banga,8
unang,8
lupa,7
apoy,7
palayok,7
pagkain,7
ibang,7
noong,7
arkeologo,7
ginagamit,7
upang,6
kasangkapan,6
dagat,6
yungib,6
naman,6
pilipinas,6
bato,5
maraming,5
di,5
ganitong,5
dumami,5
wala,5
kahoy,5
tubig,5
buhay,5
nahuhukay,5
palawan,5
metal,5
katawan,5
ring,5
patay,4
natuto,4
bangka,4
gubat,4
patunay,4
halimbawa,4
palagay,4
natuklasan,4
taon,4
kuweba,4
bahay,4
punongkahoy,4
damit,4
dayuhan,4
kuwintas,4
klase,4
rin,4
kabilang,4
panahong,3
pulo,3
ilang,3
dalawang,3
kabibe,3
balat,3
nagsasabi,3
gamit,3
malaking,3
kagamitan,3
nagtagal,3
y,3
gawain,3
pagtatanim,3
itong,3
espanyol,3
palay,3
lalagyan,3
mababangis,3
pamumuhay,3
magtanim,3
naglalakbay,3
kalansay,3
tulay,3
parang,3
paligid,3
nahukay,3
bagay,3
malapit,3
dalampasigan,3
rito,2
tingga,2
tanso,2
tuklas,2
mananakop,2
nakahukay,2
tuyong,2
tuyo,2
patpat,2
buhat,2
pagguhit,2
produkto,2
putik,2
makipagpalitan,2
paghahabi,2
nakatira,2
nagpupunta,2
pagsulat,2
makikita,2
hiyas,2
maykaya,2
parami,2
mas,2
pagiging,2
paglalakbay,2
dumating,2
ding,2
pook,2
maliliit,2
nagsimula,2
paniniwala,2
kulay,2
mahirap,2
sandata,2
hikaw,2
pulseras,2
naisip,2
batangas,2
madalas,2
guhit,2
mataas,2
pagkukunan,2
prutas,2
maghanap,2
pinababaunan,2
tabon,2
mananaliksik,2
bungo,2
asya,2
puro,2
ngunit,2
damo,2
malaki,2
mabangis,2
klima,2
buto,2
namatay,2
nagbago,2
karugtong,2
laki,2
tinatawag,2
luzon,2
paggalaw,2
naliligid,2
bundok,2
dahilan,2
mindanaw,2
bulkan,2
gulay,1
guniguni,1
new,1
ayon,1
guinea,1
kristal,1
mamahaling,1
samantalang,1
mababaw,1
naninirahan,1
binibihisan,1
lalawigang,1
bulubundukin,1
pananaliksik,1
daigdig,1
magamit,1
ayos,1
tawirin,1
hugs,1
paglipas,1
tungo,1
namamatay,1
inilalagay,1
malalaking,1
palamuti,1
lutuan,1
pangangailangan,1
pagsabog,1
yy,1
mapanlikha,1
mayamang,1
naaayon,1
pagkakaibang,1
isinusuot,1
matandang,1
pagnganganga,1
libangan,1
apog,1
bunga,1
bisaya,1
nakahiwalay,1
libingan,1
nagnganganga,1
palamuting,1
tawag,1
pagbabakal,1
butil,1
ibinubudbod,1
saka,1
tinutusok,1
pagsasaka,1
pati,1
malinis,1
maayos,1
buong,1
lumubog,1
tanglaw,1
nalalaman,1
hugis,1
pagkakaiba,1
pagpapalit,1
dahon,1
katas,1
kinukulayan,1
pinatuyong,1
pinukpok,1
kadalasan,1
paliligo,1
hilig,1
napansin,1
magsilbing,1
damdamin,1
landas,1
matutong,1
ilog,1
kontinente,1
taong,1
kumot,1
talukbong,1
sapin,1
tela,1
gumamit,1
hakbang,1
patungo,1
bagong,1
magsaka,1
sapat,1
bakal,1
bronse,1
nakilala,1
kutsilyo,1
sibat,1
sasakyang,1
pantubig,1
maglakbay,1
malalayong,1
lipunan,1
maunlad,1
mang,1
pabango,1
salamin,1
seda,1
alahas,1
katutubong,1
nakikipagpalitan,1
pakikipagpalitan,1
nagtatayo,1
arabe,1
tsino,1
dayuhang,1
magkarugtong,1
dako,1
halaga,1
palakol,1
itak,1
lupang,1
romano,1
borneo,1
iturong,1
wika,1
sariling,1
nalimutan,1
napatunayan,1
pakikipagtalastasan,1
pangangaso,1
nailalarawan,1
palatandaan,1
mgaguhit,1
rizal,1
