Word,Frequency
galeon,22
mexico,8
pilipinas,7
kalakalang,6
kalakal,6
espanya,6
maraming,6
espanyol,6
nang,6
dala,4
obras,4
pias,4
maynila,4
ibang,4
pabalik,3
pirata,3
opisyal,3
galeong,3
barkong,3
itong,3
puhunan,3
acapulco,3
buhat,2
dahilan,2
prayle,2
lalong,2
nakuha,2
san,2
tatlong,2
gaya,2
matuklasan,2
di,2
ingles,2
pinakamalaking,2
paninda,2
pang,2
rekado,2
tuwing,2
mas,2
labanan,2
paglalakbay,2
bansa,2
produktong,2
pilipino,2
komersiyante,2
pagdating,2
natatangay,1
inabutan,1
karibal,1
mahigpit,1
bagyo,1
y,1
olandes,1
problema,1
nawawasak,1
daga,1
galeono,1
pag,1
pasahero,1
pagkalason,1
gutom,1
matitibay,1
puno,1
molabe,1
magalit,1
sapilitang,1
masamang,1
palakad,1
pagawaan,1
mapanganib,1
90,1
arawpero,1
biyahe,1
umaabot,1
200,1
araw,1
nagkakasakit,1
namamataysa,1
lamig,1
uhaw,1
iniwasan,1
sagupain,1
handa,1
man,1
europa,1
solo,1
pagpapasok,1
kakumpitensiya,1
bumalik,1
namatay,1
magsimula,1
rebolusyon,1
noong,1
1810,1
nakadaong,1
carlos,1
naliligiran,1
rebolusyonaryo,1
buong,1
pantalan,1
magallanes,1
umalis,1
alam,1
nangyayari,1
huling,1
tumawid,1
dagat,1
amerika,1
pinapasok,1
nagpupunta,1
santisima,1
pananalakay,1
bukod,1
mabilis,1
magaang,1
barko,1
magdigmaan,1
inglatera,1
madalas,1
pangkawanggawa,1
nangyari,1
trinidad,1
malugi,1
madugong,1
luson,1
samar,1
napasuko,1
dalawang,1
nagkakahalaga,1
milyong,1
siglo,1
nagsimulang,1
humina,1
kumukuha,1
industriya,1
proyektong,1
nakararating,1
kasama,1
rin,1
sulat,1
kawal,1
paring,1
maglakbay,1
pedro,1
kaunting,1
ginto,1
cebu,1
hilagang,1
mindanaw,1
regalo,1
haring,1
felipe,1
ii,1
daang,1
nagsimula,1
kalakalan,1
tumagal,1
kalahating,1
pera,1
tulong,1
pati,1
tugtog,1
darating,1
tawag,1
naglalakbay,1
magdalang,1
klase,1
sinasalubong,1
putok,1
kanyon,1
intramuros,1
kampana,1
salapi,1
banda,1
malaking,1
kayamanan,1
papunta,1
seda,1
porselana,1
pagbalik,1
uwi,1
napagbilhang,1
malayang,1
produkto,1
ginagamit,1
silangan,1
tungkulin,1
probinsya,1
gayon,1
lumakas,1
kapangyarihan,1
lugar,1
mapabayaan,1
pagpapaunlad,1
agrikultura,1
pakinabang,1
kontrolado,1
gamitin,1
kawanggawapero,1
ginamit,1
parang,1
bangko,1
nagpapautang,1
panindang,1
dadalhin,1
tubo,1
pautang,1
iniwan,1
pagtubuan,1
malakas,1
dalhin,1
malaunan,1
tinutulan,1
diumano,1
nakasisira,1
ekonomiya,1
nagtakda,1
hari,1
halaga,1
puwedeng,1
nasolo,1
kaibigan,1
pamahalaang,1
pakikipagkalakalan,1
nagtatakda,1
magkarga,1
aalis,1
iilang,1
tao,1
nakinabang,1
pari,1
pasipiko,1
