Word,Frequency
peles,11
si,8
kamatis,6
maghapon,4
daw,4
di,4
tanim,4
siyang,4
hugo,4
matapos,4
mo,3
naman,3
kay,3
linggo,3
pare,2
bati,2
buto,2
y,2
kumot,2
wala,2
ganda,2
magdilig,2
maraming,2
tumubong,2
lang,2
sekreto,2
kandila,1
damo,1
nagdala,1
nagbasa,1
kuwento,1
magbunot,1
umuulan,1
punlang,1
sumigla,1
umawit,1
silang,1
kabarkadang,1
malungkot,1
inimbita,1
pataba,1
gabi,1
nagsindi,1
magbudbod,1
dilim,1
matakot,1
tula,1
sawa,1
magdamo,1
uli,1
lumalaking,1
titig,1
hinahagod,1
masayang,1
naiwan,1
umpisa,1
inabot,1
ubo,1
sakit,1
balot,1
nga,1
oo,1
dumalaw,1
lulusog,1
namulaklak,1
lumaki,1
lumipas,1
araw,1
llang,1
nang,1
tuwa,1
laking,1
kaniyang,1
nagbantay,1
pantabing,1
sumayaw,1
tumula,1
mainitan,1
tumawa,1
martes,1
tiyak,1
masubukan,1
nanghingi,1
tanong,1
ganoon,1
banat,1
konting,1
tiyaga,1
sipag,1
kundi,1
akong,1
ba,1
ana,1
halaman,1
humanga,1
langgam,1
hugong,1
bukid,1
lakas,1
gamitin,1
pawis,1
magpatulo,1
naisip,1
paglilibot,1
maghapong,1
pagliliwaliw,1
maghalaman,1
pagbabagong,1
nagbulakbol,1
anong,1
dilig,1
magtanim,1
talagang,1
apurado,1
kang,1
nagsumbong,1
maiyak,1
sumupling,1
malambot,1
lupang,1
lungkot,1
kamatisan,1
bagong,1
dinalaw,1
mabilis,1
bumangon,1
maaga,1
tumutubong,1
pagbibilang,1
makatulog,1
gabing,1
pagtatanim,1
pagbubungkal,1
hardinero,1
bunga,1
