Word,Frequency
angalo,22
si,17
asin,9
sipnget,8
taaw,6
tao,6
kastilyo,4
dagat,4
bato,4
maraming,4
mo,4
tisang,4
lupa,3
pulo,3
tulay,3
apgad,3
agad,3
babae,3
kay,3
dilim,3
tubig,3
pala,2
tisa,2
paghahakot,2
diwata,2
hiling,2
magandang,2
rin,2
naman,2
alam,2
kaharian,2
kawayan,2
puting,2
kabilang,2
maalat,2
malakas,2
alon,2
siyang,2
yari,2
punongkahoy,2
galit,2
araw,2
dahilan,1
kastilyong,1
nagbalik,1
hinanap,1
tumulong,1
pinalalim,1
kinatulong,1
tinipon,1
pumayag,1
balak,1
napigil,1
magmina,1
malalim,1
pahintulot,1
humingi,1
nahulog,1
nasagkaan,1
gamitin,1
angaio,1
mahabang,1
nagtagumpay,1
hanging,1
diwatang,1
naiinggit,1
nagagalit,1
likha,1
palang,1
tanim,1
inggit,1
lihim,1
dumating,1
katulong,1
magamit,1
mayari,1
tinambakan,1
pagpunta,1
kailangang,1
napipigil,1
madaanan,1
laya,1
masipag,1
mina,1
pananim,1
hawak,1
natanaw,1
naglalakad,1
baybayin,1
korales,1
nagtambak,1
sumampa,1
paligid,1
bundok,1
nagtanim,1
hangin,1
hari,1
sinisira,1
bumabagyo,1
laging,1
taniman,1
bukid,1
nagpatag,1
sinasabing,1
mundo,1
kabutihan,1
nagawang,1
panyo,1
kumakaway,1
tinawid,1
puntahan,1
kinausap,1
nang,1
gawing,1
naghanap,1
pangako,1
masusunod,1
maigagawa,1
manggagawa,1
kang,1
itayo,1
higante,1
igawa,1
tumira,1
namang,1
sawa,1
hihilingin,1
ganda,1
naakit,1
lang,1
baywang,1
mababaw,1
ring,1
