Word,Frequency
uwak,17
bathala,13
kalapati,12
baha,6
tubig,6
nang,5
mo,4
maraming,4
si,4
bumaba,3
bumalik,3
lupain,3
itim,3
bangkay,3
bundok,3
araw,3
balahibo,3
tao,3
puti,3
hayop,3
laman,3
namatay,3
tingnan,2
utos,2
kay,2
agad,2
buong,2
mabilis,2
sumunod,2
nilibot,2
pinsala,2
sukatin,2
tinuka,2
natukso,2
malaking,2
inutusan,2
patay,2
biglang,2
nalungkot,2
uli,2
usa,2
paghihintay,2
inip,2
lungkot,2
binti,2
magiging,2
mundo,2
naman,2
alok,1
iniulat,1
kumain,1
halip,1
dugo,1
nakaligtas,1
pumula,1
wala,1
mababa,1
natuwa,1
mapulang,1
kaniyang,1
ayon,1
t,1
alam,1
nilalayuan,1
sagisag,1
katapatan,1
kasusuklaman,1
kasalanan,1
malaki,1
makatingin,1
pagbalik,1
nanatiling,1
di,1
muna,1
sumpa,1
galit,1
sinalubong,1
magpakabusog,1
tukain,1
halika,1
tawag,1
ikapitong,1
pagdating,1
kalubha,1
gaano,1
malaman,1
ilang,1
lumubog,1
pinakamataas,1
liban,1
lindol,1
kasama,1
maganda,1
ibon,1
paboritong,1
dalawang,1
lumipad,1
malalim,1
paligid,1
sundan,1
hoy,1
kumakain,1
rin,1
iniwan,1
nangyari,1
alamin,1
tinawag,1
malanghap,1
nainip,1
bumabalik,1
nalimutan,1
nagtagal,1
nasarapan,1
matatanda,1
minamahal,1
