Word,Frequency
magallanes,18
si,14
barko,8
espanya,7
pulo,7
silangan,6
espanyol,5
tauhan,5
noong,5
lapulapu,5
cebu,5
humabon,5
pinuno,4
dagat,4
unang,4
patungong,4
maraming,4
haring,3
mactan,3
beatriz,3
hirap,3
sandugo,3
nang,3
silang,3
mundo,3
limasawa,3
pagkain,3
dumaong,3
daan,3
ibang,3
lupain,2
marso,2
carlos,2
i,2
matapang,2
balak,2
kristiyanismo,2
limang,2
paglalakbay,2
umalis,2
setyembre,2
europa,2
iskerbi,2
pasipiko,2
baril,2
tiniis,2
kanyon,2
portuges,2
plano,2
sundalo,2
kanluran,2
napatunayan,2
bilog,2
gawing,2
sina,2
portugal,2
kapangyarihang,1
puno,1
nagpabinyag,1
binyagan,1
naganap,1
ayaw,1
kumilala,1
pinamumunuan,1
alam,1
kaibigan,1
kaunti,1
braso,1
kinuha,1
kagalit,1
pang,1
sinasabing,1
dalawang,1
misa,1
nakinig,1
lupang,1
pati,1
nagtirik,1
krus,1
tuktok,1
ngisang,1
burol,1
palatandaan,1
pilipinas,1
kristiyano,1
nagmisa,1
pagdating,1
misang,1
di,1
gaanong,1
kalakal,1
roon,1
lumipat,1
interesado,1
dumaan,1
pagsalakay,1
mapagmahal,1
nakabalik,1
namatay,1
nagtakbuhan,1
pabalik,1
sundalong,1
matagumpay,1
pagtatanggol,1
pilipino,1
pananalakay,1
pakikipagsapalaran,1
8,1
dinumog,1
1522,1
victoria,1
sakay,1
natirang,1
18,1
wala,1
nasakop,1
taong,1
umikot,1
makitang,1
nabuwal,1
kalayaan,1
durugin,1
sinalakay,1
ginamit,1
malalaking,1
kasunduan,1
bukod,1
kasamang,1
sumalakay,1
kawal,1
kakampi,1
pasukuin,1
hita,1
nagtanggol,1
sibat,1
kampilan,1
sandata,1
hinarap,1
katapangan,1
palasong,1
lason,1
tumama,1
dugo,1
dayuhan,1
tawag,1
rodrigo,1
maglakbay,1
pagdaraan,1
binigyan,1
hari,1
gamit,1
mahabang,1
20,1
naiwan,1
anak,1
sumumpa,1
lalo,1
babalik,1
natutupad,1
pangakong,1
marating,1
natuklasan,1
atlantiko,1
lumipas,1
taon,1
ganito,1
iniharap,1
pamilya,1
tulong,1
barbosa,1
fernando,1
de,1
pangalan,1
siyang,1
magaling,1
manlalakbay,1
nakarating,1
lupaing,1
sakop,1
gaya,1
india,1
sumama,1
loob,1
paniniwala,1
manuel,1
nagpunta,1
amerika,1
napangasawa,1
aprika,1
naghanap,1
nainip,1
natalo,1
sariwang,1
guam,1
6,1
nina,1
isinara,1
samar,1
16,1
1521,1
homonhon,1
sandali,1
nagtungo,1
pagluluto,1
mabait,1
tao,1
naturang,1
tanda,1
pakikipagkaibigan,1
nagdaos,1
rekadong,1
kolambu,1
araw,1
nakatikim,1
tumakas,1
biskuwit,1
rin,1
nasira,1
lumubog,1
magsimula,1
tanging,1
tumawid,1
kinapos,1
tubig,1
turko,1
nagkasakit,1
sakit,1
bunga,1
kawalan,1
bitamina,1
mahigit,1
tatlong,1
buwan,1
makain,1
kundi,1
asya,1
