Word,Frequency
ingles,18
espanyol,11
maynila,11
kawal,9
anda,8
nang,7
si,5
bahay,3
opisyal,3
maraming,3
simbahan,3
tao,3
prayle,3
pilipino,3
pang,3
agad,2
pinasok,2
makahuhuli,2
dumating,2
pagkaraan,2
ilang,2
lumaban,2
rin,2
pilipinong,2
sakupin,2
noong,2
bulakan,2
pilak,2
pati,2
probinsiya,2
sepoy,2
hukbo,2
digmaan,2
hukbong,2
bayan,2
gantimpalang,2
pampanga,2
pagkanyon,2
espanya,2
inglatera,2
muling,2
arsobispo,2
pamamahala,2
rojo,2
pilipinas,2
tulungan,1
hinikayat,1
parokya,1
puwersa,1
malaking,1
pera,1
ibinalik,1
sumalakay,1
pumasok,1
cruz,1
sta,1
patyo,1
gustong,1
nangalap,1
nasasakop,1
nagbigay,1
hawak,1
pala,1
magtatag,1
natatalo,1
lalaban,1
nanungkulan,1
siyang,1
ipagpatuloy,1
pakikipaglaban,1
tulong,1
sinasabing,1
bang,1
nagtatag,1
pagtingin,1
nabago,1
napailalim,1
katabing,1
lugar,1
mahigit,1
europa,1
balita,1
natalo,1
piso,1
sinumang,1
tinawanan,1
ganti,1
1763,1
dinoble,1
10,1
salapi,1
patay,1
man,1
pebrero,1
buhay,1
sinong,1
nahinto,1
naman,1
libong,1
limang,1
tumakas,1
kalakas,1
padala,1
umurong,1
nakarating,1
pumanig,1
ding,1
ganoon,1
itong,1
mapasuko,1
talunin,1
ilocos,1
pangasinan,1
ibalik,1
pananakop,1
pumayag,1
napilitang,1
india,1
de,1
simon,1
pandigma,1
ipinasiya,1
mangalap,1
kalapit,1
pangkat,1
nakapasok,1
kampo,1
kabilang,1
nagpunta,1
tumulong,1
sasaksakin,1
draper,1
guwardiya,1
nabigla,1
pagsalakay,1
naitaboy,1
madurog,1
pader,1
intramuros,1
konsehong,1
magpulong,1
susuko,1
silang,1
akala,1
barkong,1
pangkalakal,1
tsino,1
pumapasok,1
look,1
i,1
bigla,1
nagkagulo,1
sumuko,1
dumarating,1
sigaw,1
nagbabantay,1
kinabahan,1
handa,1
tinigilan,1
buong,1
ayaw,1
patuloy,1
nawasak,1
gusali,1
naiwan,1
ilog,1
pasig,1
pagkaing,1
dinadala,1
nilusob,1
sinakop,1
taytay,1
cainta,1
gabing,1
paghanap,1
galing,1
matapos,1
nagpaiwan,1
napangasawa,1
galeon,1
nagtataglay,1
salaping,1
napasakamay,1
nakabaong,1
sinira,1
tama,1
labanan,1
kanyon,1
araw,1
di,1
nagtagal,1
itinaas,1
puting,1
bandila,1
tanda,1
eskuwelahan,1
nitso,1
kinuha,1
alahas,1
mahahalagang,1
bagay,1
mayayaman,1
pinaligtas,1
ginto,1
dekorasyon,1
mananakop,1
