Word,Frequency
emperador,31
palasyo,17
ibon,16
wu,14
awit,8
nang,7
si,7
hapon,7
hardin,6
rin,5
di,5
buong,5
silang,4
araw,4
tsina,4
higit,3
gabi,3
maraming,3
agad,3
umawit,3
magmula,3
umaawit,3
ipinatawag,3
laruang,3
malungkot,3
daigdig,2
tauhan,2
mabagal,2
mata,2
galit,2
sinabing,2
laruan,2
hinanap,2
utos,2
babae,2
makina,2
kumanta,2
loob,2
natanaw,2
husto,2
bintana,2
sumasayaw,2
y,2
katawan,2
marinig,2
noong,2
ngunit,2
halaman,2
awitin,2
magagandang,2
lambing,2
bulaklak,2
lagi,2
napakaganda,2
naman,2
ibong,2
tuwing,2
malawak,1
puno,1
bumalik,1
matagpuan,1
minsang,1
pagkalipas,1
matamlay,1
namang,1
makakain,1
makatulog,1
nagtagal,1
nagkasakit,1
mahuhusay,1
malungkutin,1
nadama,1
magandang,1
wala,1
ayaw,1
nasira,1
mekaniko,1
ayusin,1
gawin,1
mapakanta,1
namatay,1
pang,1
pangungulila,1
nakaaalam,1
paanong,1
mapapakantang,1
waan,1
ibalik,1
kawal,1
mapagaling,1
manggagamot,1
halos,1
lumubha,1
muling,1
kita,1
kalilimutan,1
nga,1
kumain,1
pagkaraan,1
ilang,1
linggo,1
nanumbalik,1
pakiramdam,1
dating,1
kalusugan,1
makitang,1
nagbalik,1
pinakamaligaya,1
kasama,1
pinakamalambing,1
ipinangangako,1
mo,1
sakit,1
narinig,1
sukat,1
kumikilos,1
higaan,1
nagdidilat,1
tawagin,1
tibok,1
puso,1
mahinang,1
pagbabalik,1
lumalakas,1
nagmulat,1
silid,1
napaluha,1
sinikap,1
bumangon,1
salamat,1
ring,1
patuloy,1
huminto,1
paghahanap,1
sinasabi,1
tayong,1
iniutos,1
dalhin,1
naaakit,1
pati,1
sumama,1
abutan,1
tunog,1
napupuri,1
ipinapasyal,1
hinahanap,1
humuni,1
sumunod,1
dumapo,1
nagsimula,1
ninyo,1
tinanong,1
opisyal,1
natutuwa,1
sumulat,1
kaygandang,1
libro,1
pagdalaw,1
matanggap,1
librong,1
sinulat,1
pinuri,1
binabanggit,1
bagay,1
nakaakit,1
nagulat,1
malambing,1
akala,1
magugustuhan,1
itong,1
lugar,1
nakarinig,1
kaarawan,1
namumukod,1
sinusian,1
kumakanta,1
tigil,1
nabuhos,1
umaga,1
pansin,1
tuluyan,1
nakalimutan,1
sama,1
harding,1
umalis,1
taon,1
ding,1
biglang,1
maliit,1
regalo,1
ganito,1
kay,1
kagandang,1
malayong,1
tumira,1
siyang,1
bisita,1
maririnig,1
bang,1
pinakamaligayang,1
tao,1
pangalan,1
buwan,1
lumipas,1
unang,1
nagpadala,1
tinig,1
pinakamatamis,1
