Word,Frequency
prinsipe,35
katyaw,34
isda,12
hari,12
nang,8
buslo,8
ilog,7
butas,7
magsalita,6
elepante,6
ayaw,5
magnanakaw,5
putak,5
dumating,4
galit,4
kulog,4
mahiwagang,4
muling,4
malakas,4
buslong,4
anak,4
kumanta,4
munting,4
mandirigma,4
kidlat,4
mo,4
tubig,3
langit,3
magpapasalita,3
nagulat,3
bibig,3
bao,3
takot,3
taumbayan,3
pati,3
totoo,3
isdang,3
naman,3
isinilid,3
rin,3
tumakbo,2
palasyo,2
bayan,2
nagtawanan,2
ulap,2
maghapon,2
magdamag,2
huminto,2
mahal,2
pagsalok,2
natawa,2
dala,2
niyog,2
pagdating,2
agad,2
nasalok,2
lumusot,2
nalaglag,2
sigaw,2
inang,2
ninakaw,2
unang,2
mapagsalita,2
musikero,2
po,2
paligid,2
sumayaw,2
araw,2
tao,2
nabigo,2
isinama,2
mangkukulam,2
tumugtog,2
masasaya,2
malaking,2
isinalaysay,1
nakalulusot,1
nangyari,1
pumutak,1
kinalabit,1
bintang,1
pinansin,1
inulit,1
wakas,1
pagharap,1
patuloy,1
senyas,1
biglang,1
ama,1
lang,1
prinsipeng,1
napagsalita,1
nagsasalita,1
pagkaraan,1
masiglang,1
pangyayari,1
itong,1
saglit,1
nahuli,1
yumakap,1
nangyayari,1
iisa,1
nahuhuli,1
umiiyak,1
pagbintangan,1
siyang,1
dami,1
matanggap,1
lumakas,1
patuldy,1
nitong,1
usisa,1
siguro,1
lumuha,1
tahimik,1
suwerte,1
pinagpaguran,1
makikita,1
isusumbong,1
kita,1
kinaladkad,1
pabalik,1
simula,1
huling,1
alam,1
mata,1
matutuwa,1
nanlisik,1
masaya,1
daan,1
nating,1
nahuling,1
kinuha,1
makitang,1
laman,1
dumarami,1
magpaliwanag,1
tanong,1
itinuro,1
ibinibintang,1
pumula,1
mali,1
palong,1
daming,1
lihim,1
aba,1
tumama,1
nanatiling,1
tikom,1
sikat,1
tugtog,1
kanta,1
reyna,1
nagbuka,1
ia,1
matapang,1
gubat,1
nakakita,1
sibatin,1
natin,1
pinunong,1
nilapitan,1
elcpante,1
nagsalita,1
pinaliguan,1
langis,1
pinahiran,1
sinumang,1
problema,1
malamang,1
dahilan,1
manggagamot,1
bibigyan,1
lupain,1
kayamanan,1
makapagpasalita,1
dahon,1
balitang,1
gamitin,1
kapangyarihan,1
pinainom,1
katas,1
pinakain,1
ugat,1
sibat,1
nasaktan,1
nakawalang,1
nataranta,1
humingi,1
saklolo,1
mapagod,1
sinabi,1
magagawa,1
samantalang,1
aprika,1
halika,1
manghuli,1
lalong,1
lumusong,1
kasunod,1
hawakan,1
manghuhuli,1
mahuli,1
isinalok,1
maaamo,1
sindak,1
napaluha,1
nagsiksik,1
pumikit,1
pikitmatang,1
nagsisigawan,1
namang,1
sumunod,1
kinalalagyan,1
masasagasaan,1
sumigaw,1
tinutop,1
dumagundong,1
bumaba,1
humarap,1
iniakyat,1
nanginginig,1
tinawag,1
sumagitsit,1
apoy,1
nagbunyi,1
