Word,Frequency
rin,10
barangay,10
silang,7
araw,5
bahay,5
madalas,5
tawag,5
noong,4
dagat,4
ilog,4
katutubo,3
tubig,3
man,3
alipin,3
karaniwang,3
prutas,3
digmaan,3
pulo,3
malapit,3
maraming,3
datu,3
nagsusuot,2
maunlad,2
barko,2
dala,2
gulay,2
malalaking,2
kawal,2
pamahiin,2
aliw,2
katulong,2
nang,2
lupa,2
upang,2
alahas,2
maharlika,2
pinuno,2
tato,2
hayop,2
sakuna,2
mamamayan,2
itinayo,2
batas,2
pagkain,2
isda,2
gaya,2
naniniwala,2
mahilig,2
di,2
tao,2
unang,2
sahig,2
nabihag,1
nagiging,1
nakagawa,1
malaking,1
nakabayad,1
kalayaan,1
utang,1
kasalanan,1
hukom,1
kaiba,1
bukid,1
damit,1
paggapas,1
buwan,1
wala,1
naghahabi,1
pang,1
simbahan,1
diyos,1
nagsasaka,1
bathala,1
lumikha,1
halaman,1
panahong,1
pagtatanim,1
bituin,1
sinasamba,1
nagdarasal,1
puno,1
espiritu,1
babaylan,1
tagapagpatupad,1
katutubong,1
pari,1
bato,1
agimat,1
halimbawa,1
tumahol,1
pakikinig,1
kuwento,1
alamat,1
natin,1
pagiging,1
likas,1
masigla,1
masayahin,1
dumating,1
espanyol,1
dumadayo,1
rito,1
tsino,1
arabe,1
hindu,1
indones,1
makipagpalit,1
kalakal,1
naglakbay,1
bahagi,1
asya,1
banga,1
palayok,1
nililok,1
hinabing,1
bata,1
tula,1
bugtong,1
panlaban,1
aso,1
gabi,1
darating,1
daw,1
mamamatay,1
takot,1
aswang,1
multo,1
nauso,1
pagtatago,1
bagaman,1
raw,1
kundiman,1
uri,1
sandata,1
lang,1
toto6,1
anong,1
okasyon,1
magtipon,1
magbidahan,1
kasapi,1
nagsasayawan,1
umaawit,1
nagsisilbi,1
industriya,1
kautusan,1
yari,1
lumaban,1
pulseras,1
hikaw,1
lalong,1
gumanda,1
ayos,1
sarisari,1
hugis,1
laki,1
lalaki,1
kahoy,1
ilang,1
kawayan,1
dingding,1
nakataas,1
paglaki,1
silid,1
iisang,1
palapag,1
silong,1
kulungan,1
alagang,1
ulit,1
nalalaman,1
nayon,1
umaasa,1
sigaw,1
ninuno,1
pilipinas,1
sakay,1
bangkang,1
pandigma,1
tawagin,1
nayong,1
baybay,1
baryo,1
ulam,1
katawan,1
naglalaba,1
naliligo,1
kumukuha,1
inumin,1
naglalakbay,1
maliliit,1
30,1
libangan,1
paglalagay,1
dekorasyon,1
kadalasan,1
taguan,1
kasangkapan,1
pagtotroso,1
pagsasaka,1
ikinabubuhay,1
palay,1
niyog,1
tubo,1
bulak,1
itanim,1
ligtas,1
pagmimina,1
ginto,1
lumaki,1
kanin,1
sanay,1
maglakbay,1
karagatan,1
paglilok,1
ring,1
matandang,1
hanapbuhay,1
paghabi,1
kasuotan,1
matatanda,1
sakahin,1
bundok,1
ifugaw,1
inukit,1
kainin,1
nangangaso,1
usa,1
bihira,1
kumain,1
karné,1
ginagamit,1
seremonya,1
lagi,1
sawsawan,1
asin,1
patis,1
bagoong,1
sariwang,1
himagas,1
mapupunta,1
kayo,1
banawe,1
makikita,1
ninyo,1
bukiring,1
tela,1
