Word,Frequency
luna,24
si,21
nang,9
aguinaldo,9
kay,8
galit,5
espanyol,4
kawal,4
mascardo,4
janolino,4
heneral,4
siyang,4
di,3
pilipino,3
parmasyotiko,3
duwelo,3
hukbo,3
pilipinas,3
espanya,3
ibang,2
makirot,2
sakit,2
lang,2
la,2
kasapi,2
kasama,2
manunulat,2
mir,2
hinamon,2
rito,2
kasi,2
hukbong,2
alam,2
sinunod,2
utos,2
labanan,2
telegrama,2
taong,2
deas,2
sina,2
posisyon,2
y,2
buencamino,2
independencia,1
peryodista,1
labas,1
wikang,1
umurong,1
mulang,1
maynila,1
diyaryo,1
lathalaan,1
ipinagbawal,1
kalabang,1
pangunahing,1
aral,1
sundalo,1
pinunong,1
disiplina,1
pinarurusahan,1
kaagad,1
sinumang,1
sumusunod,1
batas,1
sikat,1
nangunguna,1
tunay,1
rebolusyonaryo,1
tagapagtaguyod,1
katipunan,1
ipinatapon,1
taktika,1
tanong,1
siyensiya,1
bumalik,1
ipinatapong,1
nagprisinta,1
nagpaputok,1
nanaog,1
diyaryong,1
husay,1
gawaing,1
pangmilitar,1
agad,1
nitong,1
itinaas,1
ranggo,1
nainggit,1
pagiging,1
itinatag,1
militar,1
bansa,1
bayani,1
nakumpiskang,1
pampanga,1
natuloy,1
makatanggap,1
liham,1
buhat,1
hunyo,1
5,1
1899,1
dumating,1
cabanatuan,1
tumanggap,1
nagkasagutan,1
makausap,1
masaya,1
nakatagpo,1
akala,1
talagang,1
makakausap,1
huwad,1
ipinadala,1
ion,1
magkaroon,1
rin,1
tomas,1
nagtatalo,1
namamatay,1
pawis,1
dugo,1
labis,1
katangahan,1
kasong,1
ikinagalit,1
pagsuway,1
pumutok,1
himpilan,1
kaso,1
malaking,1
kalookan,1
ayon,1
makapagbibigay,1
kababayan,1
pinalaya,1
nagbitiw,1
tungkulin,1
ibinalik,1
listahan,1
pangalan,1
magpulong,1
halip,1
katulong,1
nagpagamot,1
1885,1
natikman,1
mabilanggo,1
pinagbintangan,1
kunin,1
pinamumunuan,1
tiyo,1
adriano,1
nabilanggo,1
dalawang,1
buwan,1
nagbago,1
pagtingin,1
palakad,1
gobyerno,1
binabalak,1
mahirap,1
mapailalim,1
masama,1
pinuntahan,1
nangyari,1
tinaga,1
magulang,1
paterno,1
nagagalit,1
naiinggit,1
kapusukan,1
tagumpay,1
limang,1
gabinete,1
gulang,1
miyembro,1
nalaglag,1
mataas,1
punongkahoy,1
nasugatan,1
napilayan,1
paa,1
ilang,1
pilay,1
tiniis,1
sulsol,1
umiyak,1
sinabi,1
mapaghinalaan,1
ikinukulong,1
hulihin,1
mapanganib,1
buhay,1
pagbaril,1
hapong,1
tumuligsa,1
sinulat,1
nagalit,1
hinanap,1
dinuraan,1
mukha,1
saka,1
pagsaksak,1
pang,1
umatras,1
duwag,1
umuwi,1
tahimik,1
namuhay,1
dinakip,1
sumiklab,1
himagsikan,1
ulo,1
sagisag,1
ginamit,1
solidaridad,1
sapagkat,1
kabataang,1
nagpunta,1
nagtrabaho,1
laboratoryo,1
tanyag,1
siyentipiko,1
europa,1
hinangaan,1
europeo,1
dalubhasa,1
maraming,1
tropiko,1
dilaw,1
lagnat,1
nagsaliksik,1
bagong,1
gamot,1
barcelona,1
nakakuha,1
doktorado,1
patayin,1
