Word,Frequency
mabini,17
si,14
aguinaldo,8
amerikano,5
ibang,4
rin,4
noong,4
pilipino,3
liga,3
lumpo,2
nanirahan,2
la,2
trabaho,2
pera,2
1898,2
tungo,2
sumulat,2
ipinatawag,2
naman,2
siyang,2
pangkat,2
taong,2
tao,2
nang,2
pinuno,2
republika,1
punong,1
patakaran,1
ministro,1
itatag,1
kay,1
unang,1
suliraning,1
kinukunsulta,1
malolos,1
naiinggit,1
hinirang,1
pinunong,1
maraming,1
paninindigan,1
kalihim,1
kilos,1
kawit,1
gobyernong,1
naghihimagsik,1
enero,1
lumipat,1
los,1
bafios,1
laguna,1
napansin,1
nagkakaisa,1
pagkilos,1
pagbuo,1
pagtatatag,1
pamahalaan,1
nabasa,1
gustong,1
gawing,1
bahay,1
tumira,1
utos,1
batas,1
sinulat,1
gayundin,1
maagaw,1
pagtitiwala,1
bundok,1
bukid,1
lalong,1
nanghina,1
katawan,1
nahuli,1
disyembre,1
ikinulong,1
tinanggihan,1
hinimok,1
manumpa,1
bandila,1
estados,1
unidos,1
ayaw,1
halip,1
ipinagpatuloy,1
pagsulat,1
pananatili,1
rito,1
napilitan,1
palayain,1
oktubre,1
pagtawid,1
kariton,1
nakasakay,1
natatalo,1
nakasalungat,1
usapin,1
konstitusyon,1
1897,1
pakikitungo,1
sina,1
panahong,1
mas,1
payo,1
bagay,1
hukbong,1
madakip,1
umaalis,1
sumasama,1
panig,1
gaanong,1
matulungan,1
sapagkat,1
magkalayo,1
hirap,1
maglakbay,1
tirahan,1
pansamantalang,1
huhulihin,1
hulyo,1
lupa,1
sinasaka,1
ama,1
mahilig,1
sipag,1
tiyaga,1
nakatapos,1
mang,1
hinangaan,1
pambihirang,1
husay,1
magsaulo,1
madali,1
natatandaan,1
leksiyon,1
librong,1
ipabasa,1
tumututol,1
mahaba,1
mahirap,1
ibigay,1
aralin,1
ari,1
kapirasong,1
nagpunta,1
nabubuhay,1
ipinagdiwang,1
pagpapahayag,1
kalayaan,1
pagpapatuloy,1
rebolusyong,1
espanya,1
nagulat,1
dumating,1
sundalo,1
pasang,1
duyan,1
lulang,1
tanong,1
apolinario,1
sagot,1
heneral,1
tanawan,1
batangas,1
galing,1
mayamang,1
pamilya,1
guro,1
maynila,1
nakalaya,1
filipina,1
aktibo,1
pagpapadala,1
pondo,1
propagandista,1
lihim,1
pagkakalat,1
kopya,1
peryodikong,1
solidaridad,1
gawaing,1
nakilala,1
andres,1
bonifacio,1
nagtayo,1
cavite,1
makapagtago,1
sakit,1
nakabuti,1
naligtas,1
pilipinong,1
binitay,1
kasapi,1
samahang,1
pag,1
itayo,1
nagtatrabaho,1
matapos,1
abogado,1
kinuha,1
agad,1
upisina,1
kaibigan,1
abogadong,1
numeriano,1
adriano,1
medyo,1
guminhawa,1
buhay,1
nakaahon,1
sobrang,1
napasangkot,1
paghanap,1
umuwi,1
buhat,1
europa,1
rizal,1
1900,1
