Word,Frequency
tolentino,18
si,12
amerikano,10
nang,8
noong,7
agila,3
pagkaraan,3
buwan,3
dula,3
siyang,3
taon,2
ilang,2
gawaing,2
unang,2
pamilya,2
rin,2
maynila,2
sumama,2
heneral,2
hinuli,2
espanyol,2
di,2
rebolusyonaryong,2
mabilanggo,2
pagsusulat,2
ricarte,2
manggagawa,2
aurelio,2
higit,2
sumulat,2
dulang,2
pilipino,2
kilala,2
buhay,2
nagtatag,2
pangkat,1
lalo,1
tumanyag,1
y,1
madla,1
naghirap,1
nagamit,1
piyansa,1
binayaran,1
nasa,1
bilangguan,1
husay,1
pinalaya,1
bisa,1
pitong,1
sinabi,1
dalawang,1
mangatwiran,1
sinasakal,1
kundi,1
kinakarinyo,1
leeg,1
pinilipit,1
simbolo,1
estados,1
tinanong,1
unidos,1
mahal,1
patuyang,1
nagtawanan,1
1903,1
isakdal,1
pilipinong,1
nanonood,1
and,1
artemio,1
ipinasara,1
kondisyong,1
idadaan,1
muna,1
militar,1
nilalaman,1
ilabas,1
inatake,1
panulat,1
nakalipas,1
pagtataguyod,1
maglabas,1
karapatan,1
samahan,1
pagsasamantala,1
kapitalista,1
pagawaan,1
aping,1
namatay,1
hulyo,1
5,1
pahayagan,1
hiling,1
tawag,1
bumaba,1
el,1
vibora,1
matapang,1
sumuko,1
nagkukuta,1
kabundukan,1
tinuligsa,1
masigasig,1
akda,1
bundok,1
hinatulan,1
lihim,1
dinalaw,1
nalaman,1
sinalakay,1
bahay,1
pinilit,1
tumakas,1
nahuli,1
paglilitis,1
lumahok,1
digmaang,1
pagtutol,1
labintatlong,1
paglabag,1
batas,1
pampanga,1
abogasya,1
bumalik,1
probinsiya,1
mamatay,1
ama,1
nagtrabaho,1
guro,1
paglipas,1
nanungkulan,1
hukumang,1
dulugan,1
tundo,1
nakilala,1
andres,1
mapusok,1
nakakakita,1
tauhan,1
kasama,1
iminungkahi,1
gulo,1
beterano,1
himagsikang,1
mahigpit,1
ipinagbabawal,1
akdang,1
makabayan,1
mapanghimagsik,1
lubhang,1
ikinagalit,1
sundalong,1
pagtatanghal,1
pinagsisira,1
buong,1
tanghalan,1
sinaktan,1
nagsiganap,1
pati,1
manonood,1
nadamay,1
man,1
katipunan,1
matagumpay,1
siyam,1
maysakit,1
palayin,1
pakawalan,1
rebolusyonaryo,1
tungkulin,1
pagkakalat,1
propaganda,1
ipinagpatuloy,1
pagsiklab,1
gerilya,1
mapilitang,1
ilipat,1
aguinaldo,1
malolos,1
gobyerno,1
malayang,1
nahawakan,1
panahong,1
itinanghal,1
kulungan,1
inabot,1
espanya,1
magtapat,1
pumayag,1
konseho,1
handa,1
bayan,1
bonifacio,1
magrebolusyon,1
1896,1
pinaamin,1
katipunero,1
wala,1
akong,1
nalalaman,1
sagot,1
ikinadena,1
kamay,1
paa,1
ihiniga,1
kinoryente,1
napilit,1
1915,1
