Word,Frequency
si,23
jacinto,22
katipunan,11
espanyol,9
nang,6
laguna,5
katipunero,4
bonifacio,4
rizal,4
catalina,3
naman,3
sapagkat,3
rin,3
talino,3
panahong,3
pilipinas,3
siyang,3
pilipino,3
itatag,2
kasunduan,2
sipag,2
samahan,2
tungkulin,2
pagmamahal,2
bayan,2
mahalagang,2
cruz,2
kalayaan,2
labanan,2
kasapi,2
matuklasan,2
rebolusyon,2
pugadlawin,2
aguinaldo,2
ipinanganak,2
mahirap,2
mananakop,2
huwarang,2
maraming,2
noong,2
emilio,2
namatay,1
maynila,1
nasugatan,1
tahanan,1
nadakip,1
naloko,1
pamahalaan,1
hilaga,1
nakilala,1
24,1
dela,1
gulang,1
pagkaraan,1
buwang,1
panunuyo,1
ikinasal,1
nagtatago,1
sta,1
mapanghimagsik,1
nabigo,1
papunta,1
cuba,1
lihim,1
umakyat,1
barko,1
kinausap,1
sumama,1
ring,1
tula,1
kawal,1
paglaganap,1
matagal,1
lugar,1
nahirang,1
pinuno,1
hukbong,1
tradisyon,1
patria,1
bagong,1
pagtupad,1
masira,1
magpatuloy,1
matapos,1
1898,1
pakikipagsagupa,1
kasama,1
man,1
nagkasakit,1
malarya,1
nasa,1
alok,1
republika,1
malolos,1
inalok,1
tagapayo,1
pamamalakad,1
tumanggi,1
pakikipaglaban,1
ipinagpatuloy,1
ginamit,1
gawaing,1
naiiwan,1
upang,1
la,1
mangalaga,1
ginampanan,1
a,1
nasulat,1
uli,1
himagsikandahil,1
mahayhay,1
madali,1
nakalaya,1
pansamantalang,1
natigil,1
makatulong,1
panulat,1
pinaghinalaan,1
palimbagan,1
kabilang,1
mamatay,1
magsuot,1
lumang,1
damit,1
alam,1
ipambibili,1
sinikap,1
magulang,1
ibinuhos,1
ama,1
gamit,1
tinulungan,1
tiyo,1
estudyante,1
unibersidad,1
santo,1
tomas,1
makabayang,1
itinatag,1
nahihiyang,1
pansariling,1
ikinulong,1
hilot,1
tumutuligsa,1
paghahari,1
paco,1
tundo,1
lumaki,1
kawani,1
amang,1
mariano,1
inang,1
t,1
josefa,1
anak,1
buhay,1
natuto,1
magtipid,1
magtiis,1
nagpapabili,1
hangga,1
andres,1
layunin,1
nitong,1
agad,1
aral,1
simulain,1
dumami,1
nabahala,1
lalo,1
prayle,1
pinaghanap,1
ibinalita,1
kay,1
mapalaya,1
napilitang,1
talakayang,1
pinangunahan,1
nina,1
ipinasiya,1
simulan,1
himagsikan,1
dinakip,1
pagpapaliwanagng,1
instrumento,1
mabisang,1
pangangasiwa,1
pananakop,1
tumigil,1
sumapi,1
muling,1
ipinakita,1
pawang,1
ibinigay,1
napatunayan,1
kahusayan,1
pagsulat,1
akda,1
gabay,1
pagkilos,1
tinagurian,1
utak,1
patnugot,1
pahayagan,1
karamdaman,1
