Word,Frequency
igorot,19
espanyol,16
minahan,7
misyonero,6
kawal,6
ginto,5
di,5
silang,5
upang,5
nang,4
roon,4
luson,4
maraming,4
sakupin,4
mayayamang,3
tagabundok,3
pilipino,3
rin,3
ngunit,3
hilagang,3
lalong,3
hari,2
naganap,2
mangyari,2
hinimok,2
kampo,2
lupain,2
nayong,2
ibang,2
taktika,2
dayuhan,2
armas,2
pagkain,2
pang,2
sentral,2
espanya,2
kayamanan,2
pari,2
tribu,2
buwis,2
takot,2
sumuko,2
malaking,2
si,2
nasa,2
natakot,2
magpabinyag,2
katutubo,2
bundok,2
gumagawi,1
amerika,1
dagdag,1
nagpadala,1
pumayag,1
muling,1
tumulong,1
petisyon,1
humingi,1
mangyayari,1
prayleng,1
pinunong,1
gobyerno,1
inilihim,1
gintong,1
kalis,1
sinalakay,1
tinguian,1
namutla,1
prayle,1
narvacan,1
tumakas,1
lumaon,1
tagaroon,1
opisyal,1
salaping,1
namatay,1
dahll,1
malapit,1
kasakiman,1
daanang,1
dalang,1
paglilihim,1
nakontrol,1
naghirap,1
paglusob,1
panustos,1
lumalaki,1
mainis,1
pagkainip,1
ganitong,1
nabigo,1
marating,1
ilang,1
buwan,1
lumipas,1
makakuha,1
inaasahan,1
gastos,1
naghihintay,1
mukhang,1
bigo,1
proyekto,1
noong,1
mayo,1
1624,1
iniulat,1
don,1
quirante,1
sapat,1
maubos,1
pinalilipas,1
lulusob,1
kapitan,1
pinangakuan,1
tubo,1
tutustos,1
1618,1
iniutos,1
pananambang,1
pagsakop,1
kasama,1
nagtayo,1
duplas,1
de,1
nilulusob,1
aldana,1
ipinatawag,1
pinuno,1
binigyan,1
pagkakataong,1
matatag,1
sagot,1
kayo,1
magbayad,1
sariling,1
dayuhang,1
kailangang,1
madalas,1
lalawigan,1
gamit,1
dumarayo,1
napabantog,1
buong,1
kapuluan,1
yaman,1
ginamit,1
sapilitan,1
nangalap,1
gawing,1
ipinapalit,1
pinalusob,1
taktikang,1
manatili,1
magpatuloy,1
paghahari,1
bansa,1
magbabayad,1
sumumpa,1
gaganti,1
bigas,1
ritong,1
nakikipagtulungan,1
matapos,1
nasabik,1
malaman,1
minahang,1
bantog,1
tumindi,1
pananabik,1
salcedo,1
50,1
libra,1
tatlong,1
makuha,1
buwang,1
mayaman,1
lugar,1
gustong,1
masakop,1
bukod,1
pagmimina,1
sinasala,1
buhangin,1
sinumang,1
nilusob,1
taon,1
patuloy,1
ikinakadena,1
ipinatatapon,1
malayo,1
ginagawang,1
tagagaod,1
barkong,1
pandigma,1
bayan,1
mananakop,1
tinutulan,1
mahuling,1
pananakop,1
kolektor,1
nagsasama,1
sandatahang,1
baka,1
biglang,1
sumalakay,1
naroroon,1
sumunod,1
pinarurusahan,1
alipin,1
sakop,1
himukin,1
dinukot,1
ipatubos,1
pagtrabahuhin,1
y,1
namundok,1
sumama,1
payapain,1
umakyat,1
kausapin,1
pinana,1
gawin,1
saka,1
itinali,1
puno,1
itong,1
pagsasabi,1
bagong,1
relihiyon,1
pasasakop,1
salakayin,1
kakayahan,1
