Word,Frequency
aglipay,11
katoliko,10
pari,9
simbahang,8
simbahan,7
si,6
paring,6
nang,5
siyang,4
rebeldeng,4
padre,4
ilocos,4
pilipino,4
norte,3
upang,3
y,3
bagong,3
guro,2
taong,2
tao,2
amerikano,2
karapatan,2
sumiklab,2
lalong,2
noong,2
ekskomunikasyon,2
tatlumpung,2
iglesia,2
pinuno,2
prayleng,2
espanyol,2
yaon,2
ginanap,2
maraming,2
oktubre,2
kabayo,2
filipina,2
bata,2
kumalat,2
kinondena,1
lalawigan,1
25,1
kapuluan,1
aanib,1
ibang,1
t,1
1902,1
parurusahan,1
kinabukasan,1
sinabing,1
inagurasyong,1
lalaking,1
tumugtog,1
misa,1
pulong,1
ring,1
pambihirang,1
galing,1
lagi,1
nakaiiwas,1
away,1
tumuligsa,1
prayle,1
papayagan,1
ba,1
silang,1
manatili,1
bansa,1
badoc,1
unang,1
ipinasiya,1
tumiwalag,1
roma,1
itatag,1
pagdiriwang,1
tundo,1
dumalo,1
kasayahang,1
maghapong,1
inalisan,1
banda,1
musiko,1
idinaos,1
hinalinhan,1
camarines,1
pandacan,1
umuwi,1
kumandidato,1
pamahalaang,1
komonwelt,1
nabigo,1
nanalo,1
manuel,1
quezon,1
1932,1
nagtangkang,1
makipagkasundo,1
tinanggihan,1
pakikipagkaisang,1
1940,1
bayan,1
pinalayas,1
malungkot,1
namaalam,1
kaibigan,1
huling,1
dalaw,1
namatay,1
sumunod,1
buwan,1
libong,1
nagpugay,1
iuwi,1
bangkay,1
bayang,1
gulang,1
75,1
paninindigan,1
tumatatag,1
kababaihan,1
natulog,1
patyo,1
bantayan,1
pagbabalik,1
nagulo,1
nangyaring,1
kalaban,1
papalapit,1
sur,1
parokya,1
rito,1
magpasiyang,1
sumapi,1
naghabla,1
pinunong,1
kaso,1
umabot,1
korte,1
suprema,1
nagpasiyang,1
kilalanin,1
nanatiling,1
buhay,1
tumatanda,1
tila,1
sumisigla,1
sinasabi,1
sutana,1
nakaaamoy,1
puting,1
pag,1
nagkakamali,1
nasiyahan,1
ibinigay,1
marka,1
pagsusulit,1
hiniling,1
bigyan,1
ulit,1
eksamen,1
kaharap,1
paaralang,1
nabigyan,1
medalya,1
kursong,1
rebolusyong,1
ganap,1
tungkulin,1
katipunero,1
rebolusyonaryo,1
kunwari,1
nagsisilbing,1
karpintero,1
mahalata,1
20,1
itinatama,1
pati,1
tagabukid,1
ilog,1
bunsong,1
anak,1
ama,1
pinagmamasdan,1
paglaki,1
nga,1
laging,1
masigla,1
sasakay,1
puno,1
tatalon,1
pagkaraan,1
batang,1
taon,1
napatanyag,1
gregorio,1
lider,1
pumasok,1
san,1
juan,1
de,1
letran,1
napatunayan,1
tapang,1
1898,1
nahirang,1
pinakamataas,1
nakadamit,1
kadakilaan,1
makatwirang,1
bumuo,1
sariling,1
pangkat,1
gerilya,1
umakyat,1
kabundukan,1
dating,1
nakasuot,1
matapang,1
uniporme,1
kabanalan,1
bukambibig,1
pangalang,1
pamumundok,1
ilokanong,1
sarisaring,1
kuwento,1
kabayanan,1
kabayanihan,1
pakikibaka,1
nagsasabing,1
sakay,1
pagdarasal,1
digmaan,1
rebolusyonaryong,1
hukuman,1
pamahalaan,1
pilipinas,1
kasunod,1
panunumpa,1
nanawagan,1
magkaisa,1
paglaban,1
hudyat,1
pagsisimula,1
malawakang,1
paghiwalay,1
pangyayaring,1
nagpasiya,1
pinatawan,1
parusang,1
pinuputol,1
kaugnayan,1
romano,1
pasiyang,1
ipinakalat,1
ipinaskel,1
pintuan,1
malalaking,1
natanyag,1
sinilangan,1
