Word,Frequency
humadapnon,24
si,22
nagmalitung,9
yawa,9
ginmayunan,8
sina,6
pulo,6
biday,6
anyo,5
kuweba,5
agad,4
kay,4
naman,4
tauhan,4
dalawang,4
malaking,4
magandang,4
duwindi,4
taghoy,4
tarangban,4
dagat,3
engkanto,3
lakas,3
siyang,3
nagbabanggang,3
ahas,3
umibig,2
nakatira,2
makitid,2
ginintuang,2
tubig,2
mabuksan,2
ginamit,2
silang,2
nang,2
umpisa,2
babae,2
nagbalik,2
paglalakbay,2
ulo,2
makisig,2
di,2
lawod,2
uli,2
sumamang,1
nabilanggo,1
hayop,1
humanap,1
magawa,1
namang,1
inanyayahan,1
wala,1
naglalakbay,1
ibinilanggo,1
nakatiis,1
labanan,1
naengkanto,1
mukhang,1
makapal,1
pagbaba,1
pagod,1
dumaong,1
dalaga,1
naakit,1
mapahamak,1
muntik,1
dati,1
mamahinga,1
inakit,1
anyong,1
pinasalamatan,1
sunmasakay,1
pintuan,1
pala,1
gumamit,1
nilusob,1
maibalik,1
dating,1
pinto,1
lalaki,1
bayaning,1
mandirigma,1
nga,1
engkantada,1
makilala,1
masayang,1
wakas,1
bumalik,1
kondisyon,1
rin,1
lihim,1
ding,1
nagpakilala,1
pumayag,1
y,1
huli,1
tumanggi,1
suyung,1
iligtas,1
pinakiusapan,1
napatay,1
dumating,1
noong,1
salbaheng,1
mamatay,1
walo,1
nakaharang,1
daan,1
tapang,1
tinigpas,1
walong,1
gabi,1
kaharian,1
lumitaw,1
panaginip,1
kaibigan,1
ipinakita,1
sinabi,1
nina,1
nakaharap,1
pakikipagsapalaran,1
binuhat,1
tao,1
sandaang,1
mabuhat,1
bundok,1
gumulong,1
bato,1
sinasabing,1
matapang,1
malakas,1
panay,1
malapit,1
lugar,1
pinuno,1
bantog,1
malayong,1
pagkagising,1
engkantadang,1
sumuot,1
pula,1
hinarang,1
araw,1
daanan,1
maiipit,1
pag,1
humingi,1
naghanda,1
tulong,1
magkaibigan,1
pinigil,1
mabilis,1
nakalusot,1
engkantadong,1
malawak,1
nakaalis,1
pagsagwan,1
tumulong,1
makaalis,1
buwan,1
pitong,1
malapot,1
kumikilos,1
hangin,1
napadpad,1
mapanganib,1
mahirap,1
ilang,1
kasama,1
naglayag,1
bangka,1
magkasama,1
