Word,Frequency
si,20
baltog,13
handiong,12
bayan,9
ibalon,9
rabut,9
bantong,7
hayop,5
tao,4
mamamayan,4
dumating,4
nang,4
kay,4
lupain,3
tauhan,3
matapang,3
unang,3
bathala,3
ilang,3
isarog,2
kapatagan,2
ilog,2
mabuhay,2
mababangis,2
napatay,2
malaman,2
dambuhalang,2
kaibigan,2
pangyayari,2
maraming,2
muling,2
kabundukan,2
mapaminsalang,2
ngunit,2
pinatay,2
pinuno,2
sakop,2
taong,2
malakas,2
higanteng,2
rin,2
araw,2
mandirigma,2
naimbento,2
bicol,2
sinira,2
mahuhusay,2
pananim,2
natakot,2
mandiririgma,1
tinipon,1
pamantayan,1
nakatira,1
gatang,1
hanapin,1
malapitan,1
nabigo,1
pambahay,1
patayin,1
paghabi,1
mang,1
pagsukat,1
bato,1
gawing,1
napabalita,1
kapangyarihan,1
panggugulo,1
takot,1
nagngangalang,1
kumain,1
nagpupunta,1
madalas,1
gubat,1
liblib,1
noong,1
nagtangkang,1
pinadamba,1
kirot,1
umabot,1
sigaw,1
kagubatan,1
kapatagang,1
nagalit,1
pinasabog,1
bulkan,1
alon,1
napasigaw,1
karagatan,1
bumaha,1
makaraan,1
pagbaha,1
nagbago,1
landas,1
nawala,1
pulo,1
matinding,1
puso,1
pumasok,1
binigyan,1
kublihan,1
niiong,1
naman,1
matalik,1
bigyan,1
mo,1
pang,1
hahanapin,1
mandirigmang,1
tabak,1
tapat,1
sina,1
kuweba,1
natutulog,1
higante,1
lumapit,1
itinarak,1
matalim,1
kagamitang,1
nagtungo,1
itak,1
nayanig,1
wala,1
siyang,1
dalang,1
anuumang,1
sandata,1
sinugod,1
ibinuno,1
paligid,1
buwan,1
isinabit,1
malaking,1
puno,1
bayani,1
pagbubunyi,1
kumalat,1
buong,1
inabangan,1
kabilugan,1
suklay,1
batavara,1
tawag,1
malawak,1
mayamang,1
nakarating,1
mabait,1
galing,1
malayong,1
nagtayo,1
gabing,1
munting,1
di,1
nagtagal,1
bayang,1
ginulo,1
mabangis,1
makapangyarihan,1
kabayanihan,1
hinangaan,1
paglipas,1
makatarungang,1
dugo,1
matahimik,1
itinatag,1
nilinis,1
tinamnan,1
palay,1
mabuting,1
batas,1
taon,1
inalis,1
umunlad,1
pamumuno,1
magbubukid,1
artesanoat,1
imbentor,1
araro,1
dami,1
namula,1
nina,1
paglipol,1
nagkagulo,1
nagsibaba,1
t,1
ibang,1
alaga,1
umahon,1
buwaya,1
ilogat,1
kinain,1
naliligo,1
nalaman,1
matanda,1
makisig,1
nangyayari,1
nanguna,1
natirang,1
