Word,Frequency
kalikasan,21
inang,21
si,13
korona,13
ibon,11
ulo,10
naman,8
koronang,7
araw,7
mo,7
reyna,6
maya,6
bata,6
buhok,5
ngunit,5
itong,4
lang,4
kulay,3
nang,3
sanga,3
yari,3
pang,3
upang,3
isda,3
gawa,3
dahon,3
bituin,2
pumasok,2
man,2
nga,2
tumingin,2
pugad,2
buwan,2
dalang,2
malinis,2
susunod,2
diwata,2
liwanag,2
bulaklak,2
salamin,2
tanong,2
hangin,2
lumipad,2
gubat,2
talulot,2
agad,2
puno,2
nilalang,2
ngumiti,2
wika,1
daumbuhalang,1
buslo,1
inilabas,1
bulwagan,1
grupo,1
pagbati,1
higante,1
pinuno,1
lumalapag,1
mabigat,1
mapansin,1
luntian,1
ginto,1
isinukat,1
mamahaling,1
metal,1
tinanggihan,1
pinanday,1
bato,1
duwende,1
gawing,1
gabi,1
pulseras,1
apoy,1
sobrang,1
nasilaw,1
dala,1
malaki,1
pinilas,1
kalangitan,1
pininturahan,1
hugis,1
alam,1
kasing,1
takbuhan,1
hitik,1
punong,1
aakyatin,1
hayop,1
kakalaruin,1
lawa,1
kayo,1
lumangoy,1
kasama,1
umaga,1
takipsilim,1
humakbang,1
paharap,1
sinabing,1
naibigay,1
humuni,1
sumayaw,1
nagsipagtawanan,1
sumali,1
sayawan,1
nagpatuloy,1
kasiyahan,1
dumating,1
wakas,1
ninyong,1
parang,1
malawak,1
maipatong,1
paborito,1
hinayaan,1
batang,1
ipatong,1
mailapag,1
sariling,1
y,1
marahang,1
ipinatong,1
rito,1
binahayan,1
huling,1
mundo,1
pinatingkad,1
pinaganda,1
pinanatiling,1
binigyan,1
maayos,1
tahanan,1
pinipili,1
handog,1
kabataan,1
pahayag,1
buong,1
nakalutang,1
problema,1
parati,1
mamamatay,1
madidiligan,1
ulan,1
magsusumbrero,1
turuang,1
nakatira,1
likas,1
malaya,1
yata,1
tamang,1
baguhin,1
wala,1
akong,1
maipapayo,1
gayon,1
patawarin,1
nawa,1
reynang,1
napakahusay,1
talaga,1
kayliwanag,1
tugon,1
masisinagan,1
magsumbrero,1
nagtatalon,1
bang,1
dumadapo,1
gumagawa,1
pagdalaw,1
pagkanta,1
ginugulo,1
napupuno,1
dayami,1
siit,1
ipot,1
kayganda,1
dati,1
sinubok,1
bugawin,1
bumabalik,1
muling,1
tuwing,1
matutulog,1
kay,1
natutuwa,1
sana,1
nasubukan,1
nagkakamot,1
galak,1
ulap,1
masama,1
tubig,1
inaaway,1
nagpasalamat,1
tinawag,1
hardin,1
naghabi,1
kadena,1
ibang,1
kumpol,1
inamoy,1
halimuyak,1
isukat,1
niyakap,1
mabilis,1
nasira,1
kinuha,1
talahib,1
ipanggawa,1
balat,1
kahawig,1
anghel,1
nababasa,1
isusuot,1
inatasan,1
masakit,1
maglibot,1
mong,1
sinuman,1
makapaghandog,1
pinakamagandang,1
makakatanggap,1
gantimpala,1
ibulong,1
mensahe,1
lupalop,1
kinabukasan,1
pagsilip,1
bintana,1
mahabang,1
pila,1
nasasakupan,1
reynadala,1
siyokoy,1
koral,1
tubigdagat,1
matigas,1
mahimbing,1
