Word,Frequency
si,29
indarapatra,20
nang,15
sulayman,10
kaharian,5
engkantada,5
komara,4
potri,4
anak,4
biglang,3
kay,3
agad,3
hayop,3
tahimik,3
dagat,3
balaraw,3
buong,3
di,3
mo,3
tao,3
mantapoli,3
sultan,3
binata,3
dambuhala,3
lumaban,2
nagtagal,2
talampas,2
y,2
bundok,2
malupit,2
lumabas,2
tinig,2
katawan,2
itong,2
madilim,2
kapatid,2
saling,2
yungib,2
akong,2
sumakay,2
siyang,2
kamay,2
dalawang,2
matagal,2
hari,2
nabi,2
gubat,2
ulo,2
bathala,2
utusan,2
batang,2
lupa,2
tanong,1
nagiging,1
nagging,1
walo,1
madali,1
tinalo,1
matatagpuan,1
dala,1
kuweba,1
itinuro,1
nangyari,1
kinaroroonan,1
pag,1
nakaharap,1
pinugot,1
tiyakin,1
mong,1
mahahati,1
ibinalita,1
napasigaw,1
dumadami,1
pagpapakilala,1
salamat,1
nina,1
matanda,1
bigla,1
kabayanihan,1
nagdiwang,1
kasabay,1
talib,1
dati,1
tinataga,1
alipin,1
ibinitin,1
sundin,1
nakaluksa,1
napahamak,1
linggong,1
patuloy,1
kumikislap,1
taga,1
patay,1
gintong,1
riyan,1
yumanig,1
nanghina,1
yabag,1
talagang,1
bulag,1
marahan,1
tinaga,1
masuwerte,1
dumadagundong,1
makakain,1
naman,1
kampilan,1
sunggaban,1
pilit,1
itinaas,1
binunot,1
mahiwagang,1
itinarak,1
malakas,1
tuluyang,1
matandang,1
mabitiwan,1
katapusan,1
ibinigay,1
mahiwaga,1
sandaling,1
masugatan,1
mabubulag,1
saka,1
simulang,1
tagain,1
pinuntahan,1
matiyak,1
dugo,1
naubusan,1
bunganga,1
magkasya,1
limampung,1
namatay,1
kalabaw,1
umalingawngaw,1
mabuwal,1
nabitag,1
malalaking,1
napansin,1
iniihaw,1
pottri,1
pagkamatay,1
kinupkop,1
inaring,1
parang,1
tunay,1
kinilalang,1
prinsipe,1
pinakamahusay,1
mandirigma,1
sumulpot,1
dambuhalang,1
nagulo,1
bukod,1
kumakain,1
naninira,1
pananim,1
mapatay,1
nagtangkang,1
inutusan,1
pigilin,1
pamiminsala,1
bahala,1
ipinagtapat,1
malubha,1
magkasakit,1
angking,1
bakamarat,1
malaylabangsa,1
humiling,1
pinapanaog,1
nasa,1
langit,1
sanggol,1
isinilang,1
bata,1
lumaking,1
galing,1
pangyayari,1
nakalalakad,1
napapaamo,1
mabangis,1
mamatay,1
hinirang,1
alam,1
nari,1
utusang,1
pangalan,1
inilihim,1
matapang,1
engkantosi,1
tinitiyak,1
alimango,1
hangin,1
alon,1
tumaob,1
sasakyan,1
sumisid,1
naglakad,1
tinangka,1
kainin,1
pating,1
dikya,1
pugita,1
binta,1
pinitik,1
tubig,1
lakas,1
tunog,1
nabingi,1
matinding,1
pagod,1
nakatulog,1
pagkagising,1
nanghuli,1
rumaragasang,1
malaking,1
makaliligtas,1
bumabalik,1
matalim,1
kasama,1
ilang,1
tauhan,1
umalis,1
tuparin,1
utos,1
lumipas,1
maraming,1
araw,1
ipinasiya,1
kabayo,1
hanapin,1
kabayong,1
lumilipad,1
pagbagtas,1
nitya,1
sinalubong,1
mababangis,1
iwasiwas,1
maamo,1
iniwan,1
nanatiling,1
