Word,Frequency
muslim,16
nang,9
si,8
islam,8
katutubo,6
moske,5
dumating,4
sulu,4
baguinda,4
unang,3
pagsamba,3
pinuno,3
tsina,3
tao,3
tinapay,3
kabungsuwan,3
nilusob,2
kayo,2
itinuro,2
koran,2
bangka,2
kay,2
kaaway,2
noong,2
napangasawa,2
anak,2
raha,2
kawal,2
llog,2
buansa,2
y,2
maraming,2
sumunod,2
ayaw,2
karim,2
bato,2
ba,2
katutubong,2
dalawang,2
sultan,2
sinasabing,2
naman,2
kumalat,2
espanyol,2
pinunong,2
barangay,2
roon,2
relihiyon,2
bakr,2
luzon,2
lumikas,2
borneo,2
natakot,2
abu,2
nahimok,1
tagaroon,1
itinapon,1
makinig,1
masama,1
inakit,1
pakay,1
nagtiyaga,1
misyonero,1
rito,1
akala,1
lason,1
umalis,1
aso,1
lumapit,1
pulanggi,1
baybayin,1
nina,1
nalason,1
nakatira,1
taong,1
hayop,1
nagkalapit,1
maharajah,1
dala,1
mabuting,1
balita,1
auliya,1
malabang,1
galit,1
malacca,1
sakupin,1
sakay,1
pala,1
apo,1
brunei,1
panahong,1
laganap,1
bisaya,1
mindoro,1
ilang,1
pasig,1
hawak,1
dating,1
winasak,1
kristiyano,1
bininyagan,1
pananakop,1
napigil,1
paglaganap,1
kapuluan,1
nanatiling,1
palawan,1
abutan,1
magallanes,1
sundalo,1
bumalik,1
portugal,1
lumaban,1
pasakop,1
dayuhan,1
nasugatan,1
magkabilang,1
panig,1
manalo,1
as,1
cotabato,1
hinabol,1
pinalayas,1
aral,1
ltinaboy,1
kabundukan,1
ipinagbawal,1
sumuko,1
ninuno,1
tiruray,1
misteryosong,1
bundok,1
pangkat,1
nagdala,1
parang,1
nakarating,1
kasama,1
misyonerong,1
nagtuloy,1
sinasamba,1
tuan,1
masha,1
ika,1
tiyak,1
pagbasa,1
bibliya,1
allah,1
diyos,1
sipad,1
pamilya,1
propetang,1
nakalalakad,1
tubig,1
nakalilipad,1
asya,1
nagpunta,1
nangyari,1
bansa,1
quiapo,1
simbahan,1
sumasamba,1
nagdarasal,1
tawag,1
alam,1
ninyong,1
pang,1
kristiyanismo,1
nangangalakal,1
mahigit,1
kalahating,1
milyong,1
pilipino,1
napatay,1
rebelde,1
salakayin,1
canton,1
siyang,1
ibon,1
halip,1
himala,1
nagkagulo,1
dalampasigan,1
dumarating,1
maghanda,1
marinig,1
tinulungan,1
ninyo,1
masaya,1
tinanggap,1
patay,1
kaibigan,1
paramisuli,1
anakni,1
nagbunyi,1
nagpatayo,1
lusubin,1
upang,1
pangaralan,1
gawing,1
biglang,1
pagkaraan,1
taon,1
sikat,1
kababalaghan,1
mabilis,1
pangyayaring,1
pangaral,1
pagtuturo,1
magtayo,1
sumusunod,1
matindi,1
araw,1
nangaral,1
lalaki,1
babae,1
pati,1
bata,1
tumulong,1
pagtatayo,1
matapos,1
lumipat,1
mindanaw,1
