Word,Frequency
abad,15
si,15
santos,14
hapones,8
nang,6
quezon,5
magsasaka,4
pedro,4
cebu,4
abogado,4
rin,4
madalas,3
opisyal,3
pilipinas,3
ani,3
pamilya,3
hapon,3
maynila,3
pagdating,3
jose,3
agad,3
noong,2
kay,2
kabila,2
gawain,2
pepito,2
dinala,2
presidente,2
gobyerno,2
digmaan,2
siyang,2
hukuman,2
anak,2
corregidor,2
lalaki,2
sinasakyan,2
lider,2
y,2
nasa,2
kasama,2
sengseng,2
roxas,2
bataan,2
kapatid,2
kinatawan,2
carcar,1
bayan,1
lunsod,1
hinintay,1
kailangang,1
kayong,1
gabing,1
kotseng,1
nakaalis,1
abutan,1
mawawalan,1
umalis,1
maiwan,1
payo,1
gugustuhin,1
nina,1
ipagpatuloy,1
balak,1
mas,1
magretiro,1
natapos,1
alok,1
tumanggi,1
australia,1
bumagsak,1
kamay,1
patungong,1
nagpasabi,1
paglikas,1
kumander,1
amerikano,1
himpilan,1
masalubong,1
kotse,1
pagkakataong,1
mamatay,1
huling,1
salitang,1
iniwan,1
barilin,1
mayo,1
2,1
1941,1
binaril,1
malabang,1
mindanaw,1
lihim,1
halip,1
palayain,1
inilipad,1
tokyo,1
pagtutol,1
sandali,1
wikang,1
tauhan,1
embahada,1
nakabalik,1
ganitong,1
bihira,1
matapang,1
iniwang,1
konstabularya,1
pinababa,1
hinuli,1
isinakay,1
trak,1
nakikipaglaban,1
nakilala,1
nagpalitan,1
pagtatanong,1
nalaman,1
pinilit,1
mo,1
manumpa,1
banderang,1
pasukuin,1
magagawang,1
magtaksil,1
matigas,1
sagot,1
kang,1
umiyak,1
ipakita,1
lalawigan,1
buhay,1
pilipino,1
pamahalaan,1
lumubha,1
problema,1
gitnang,1
luzon,1
magkapatid,1
nalagay,1
magkasalungat,1
panig,1
inusig,1
kapabayaan,1
kawal,1
nitong,1
paunlarin,1
kalagayan,1
kalihim,1
katarungan,1
ipinagtanggol,1
naman,1
pagpapairal,1
batas,1
salvador,1
quirino,1
sina,1
popular,1
tatang,1
tiyak,1
matutuwa,1
bahay,1
kagagaling,1
amerika,1
doo,1
nagtapos,1
abogasya,1
pamahalaang,1
komonwelt,1
pinatay,1
mananakop,1
pampanga,1
silang,1
pangunahing,1
nakatatandang,1
pambansang,1
lehislatura,1
paggalang,1
publiko,1
nanunungkulan,1
linggo,1
tinuturuan,1
babae,1
nagpupulong,1
umagang,1
ipinatawag,1
gawin,1
pagsiklab,1
pasipiko,1
isasama,1
kita,1
joe,1
ililipat,1
nasyonal,1
mapasok,1
kailan,1
tatagal,1
digmaang,1
naitatanong,1
manuel,1
matiyaga,1
pag,1
nasangkot,1
golf,1
eskandalo,1
yamaman,1
posisyon,1
makapangyarihan,1
naniniwala,1
tao,1
aniya,1
nagtitiwala,1
wala,1
ring,1
gagalang,1
susunod,1
uliran,1
asawa,1
padre,1
de,1
nawalan,1
isinasama,1
naglalaro,1
malaya,1
