Word,Frequency
nang,10
sulu,10
tsino,10
katutubo,8
rin,8
kalakal,7
tsina,6
perlas,4
mangangalakal,4
pinuno,3
ilang,3
dala,3
dumating,3
araw,3
pamalit,3
tawag,3
dampuan,3
orang,3
ibang,3
emperador,3
luzon,3
ginto,3
silang,2
maraming,2
prinsesa,2
nakikipagpalit,2
matagal,2
noong,2
dagat,2
sakay,2
barko,2
muslim,2
banga,2
dumayo,2
datu,2
porselana,2
pabango,2
tela,2
bilog,2
buwis,2
kalakalan,2
gaya,2
naman,2
bayan,2
kalapit,2
pilipino,2
ginagamit,2
ipinagbibili,2
arabe,2
nakarating,2
borneo,2
nabalitaan,2
barangay,2
nagpunta,2
asya,2
kamote,1
isla,1
mamahaling,1
opisyal,1
selyo,1
pinagbakasyon,1
27,1
timog,1
malaking,1
alipin,1
iniluluwas,1
mapagdadalhan,1
mindanaw,1
bulak,1
katad,1
tagaroon,1
pulang,1
tapete,1
binigyan,1
magbayad,1
langis,1
kawal,1
bughaw,1
abaloryo,1
palayok,1
pinakamahal,1
malalaking,1
laking,1
di,1
kumukupas,1
kaputian,1
nagbayad,1
sarisari,1
lalong,1
umunlad,1
makapaglakbay,1
1417,1
dalawang,1
kasama,1
java,1
mgatsino,1
kahoy,1
bigas,1
si,1
legazpi,1
butuan,1
manok,1
kinaibigan,1
buhat,1
maynila,1
tulungan,1
makipagpalit,1
produkto,1
bumili,1
makakain,1
sawa,1
bisaya,1
naglalakbay,1
bangka,1
pagkain,1
cebu,1
dumaray,1
espanyol,1
pirata,1
nakagagawa,1
habulin,1
nagpapalit,1
hukbong,1
tanso,1
pangkatihan,1
grupo,1
humingi,1
mananakop,1
kambing,1
baboy,1
tulong,1
fukien,1
nanirahan,1
manila,1
relasyon,1
misyonerong,1
seda,1
rito,1
dinarayo,1
pakasalan,1
pumayag,1
siyang,1
pailalim,1
imperyo,1
banjarmasin,1
dumami,1
dayuhang,1
nataboy,1
kabundukan,1
natatakot,1
maglakbay,1
palayasin,1
dumaong,1
canton,1
mahahalagang,1
itak,1
inalok,1
makipagnegosy,1
ipinagpapalit,1
ayaw,1
palaganapin,1
islam,1
pagkaraan,1
bansa,1
nagtinda,1
nainggit,1
sinalakay,1
armas,1
pulo,1
napatay,1
pati,1
bata,1
nadamay,1
tumakas,1
muling,1
nagbalik,1
mapaghinala,1
kabibe,1
laki,1
itinitinda,1
palawan,1
gitna,1
saka,1
pinapatunog,1
tambol,1
ipaalam,1
pagdating,1
pinupuntahan,1
munting,1
kaguluhan,1
namamagitan,1
nagkasundo,1
namimigay,1
payong,1
upang,1
maliliit,1
maunlad,1
daungan,1
tumitigil,1
busuanga,1
pang,1
calamines,1
barkong,1
tagasagwan,1
tapat,1
bahay,1
magsakay,1
inilalatag,1
kayang,1
digmaan,1
yero,1
makukulay,1
nganga,1
banig,1
basket,1
lang,1
tama,1
tingi,1
nagagawa,1
indonesya,1
