Word,Frequency
si,14
espanyol,8
rebolusyonaryo,6
katipunan,6
kababaihan,5
nang,5
di,5
noong,4
silang,4
babaeng,4
rizal,3
pilipina,3
tumulong,3
pang,3
himagsikan,3
bala,3
maria,3
kay,3
ina,3
clara,3
malolos,2
sora,2
tumutol,2
lumaban,2
donya,2
prayle,2
de,2
bahay,2
upang,2
gamot,2
tandang,2
kasapi,2
marina,2
humawak,2
gabriela,2
pinuno,2
sandata,2
panay,2
kinatakutan,2
agueda,2
ibang,2
pangkat,2
san,2
lalo,2
laging,2
babae,2
tiongson,2
unang,2
gliceria,1
teresa,1
kawal,1
natakot,1
husay,1
inspirasyon,1
babe,1
barilin,1
matapos,1
imus,1
nars,1
magbanua,1
hukbo,1
mamuno,1
josephine,1
laguna,1
kahabagan,1
kilala,1
tawag,1
henerala,1
nanguna,1
paglusob,1
pagpapalaya,1
bayan,1
bracken,1
sugatan,1
naglingkod,1
matanda,1
miguel,1
labindala,1
wang,1
sagupaan,1
nilahukan,1
naitala,1
pilipino,1
rebolusyong,1
esteban,1
tagabili,1
armas,1
cavite,1
nagtayo,1
ospital,1
panghukbo,1
nagtaguyod,1
kundiman,1
baliwag,1
nazaria,1
lagos,1
tulungan,1
jocelynang,1
awit,1
pablo,1
malaki,1
nakatulong,1
pagkain,1
pinagtiisan,1
ibinigay,1
teodora,1
alonso,1
maraming,1
pagkakataong,1
siyang,1
tumakas,1
ngunit,1
lolay,1
kampong,1
nagdusa,1
barkong,1
bayani,1
masaksihan,1
nagpapadala,1
pagkamatay,1
pilantropo,1
anak,1
villavicencio,1
bagumbayan,1
disembre,1
30,1
ilang,1
bintang,1
nabilanggo,1
salapi,1
pakikipaglaban,1
melchora,1
aquino,1
rebolusyon,1
sugatang,1
inalagaan,1
gumamot,1
baril,1
katipunero,1
nagpunta,1
kubo,1
pepita,1
balintawak,1
ulit,1
ginamot,1
magamit,1
sugat,1
ipinanghingi,1
damit,1
lumusob,1
pagtulong,1
ipinatapon,1
guam,1
bulusan,1
llang,1
madalas,1
itinawag,1
katipunerong,1
gaya,1
lumitaw,1
ring,1
dekorasyon,1
magandang,1
halimbawa,1
bantog,1
20,1
dalaga,1
kura,1
paroko,1
ayaw,1
nitong,1
pumayag,1
buksan,1
panggabing,1
paaralan,1
nagpetisyon,1
lakambini,1
sagisag,1
gregoria,1
jesus,1
sumapi,1
katipunera,1
pagsayaw,1
balkon,1
loob,1
nagpupulong,1
urduja,1
prinsesa,1
istorya,1
mang,1
mahina,1
mahinhin,1
magkadigma,1
inihahambing,1
nakaunawa,1
likhain,1
tuwing,1
ilalarawan,1
idinidiin,1
kahinaan,1
tunay,1
larawan,1
baba,1
maalamat,1
mahalagang,1
papel,1
lipunan,1
kalahok,1
katuwang,1
lalaki,1
bukid,1
dagat,1
tahanan,1
karapatan,1
magkaroon,1
tribu,1
ginaga,1
wa,1
mahalata,1
tecson,1
yumaong,1
kinausap,1
dating,1
tauhan,1
asawa,1
binuo,1
nilusob,1
garison,1
bodega,1
llocos,1
ilarawan,1
trinidad,1
ipinakitang,1
paglaban,1
katapangan,1
pagtatanggol,1
daang,1
papasok,1
1895,1
kasaping,1
sumama,1
heneral,1
llanera,1
nagsuot,1
unipormeng,1
pangmilitar,1
pinasimulan,1
ipagpatuloy,1
nagdaraan,1
hinabol,1
pulong,1
agad,1
natuklasan,1
dizon,1
kilusan,1
tagapagtago,1
tagapaghatid,1
dokumento,1
araw,1
natiktikan,1
guwardiya,1
sibil,1
tutuban,1
ipinasiya,1
pagdating,1
estasyon,1
tren,1
nagtago,1
lumang,1
palikuran,1
saka,1
sinunog,1
dalang,1
listahan,1
mgo,1
ilocos,1
kasaysayan,1
