Word,Frequency
alon,11
kawal,11
isda,11
raha,9
bata,7
dalampasigan,6
malalaking,6
nang,5
dagat,5
saging,5
tauhan,4
puno,4
iskandar,4
isdang,4
muling,3
sinalakay,3
gumulong,3
inulos,2
nagulat,2
hilera,2
pinaghanda,2
agad,2
y,2
pagsalakay,2
tubig,2
lang,2
tangay,2
espadang,2
tinaga,2
sagot,2
maraming,2
karagatan,2
singapore,2
tinusok,2
burol,2
nangitim,2
galit,1
pagdating,1
naiisip,1
pinaghandaan,1
gagamit,1
ibinakod,1
pumutol,1
maghanap,1
inutusan,1
nilapitan,1
naisip,1
opo,1
mapipigil,1
tinanong,1
mo,1
po,1
katwiran,1
nga,1
nakatatawa,1
ba,1
pangyayari,1
mamamatay,1
kasi,1
batang,1
sakay,1
nagtagal,1
nawala,1
makaalis,1
kinabaunan,1
ginamit,1
ganitong,1
tuluyang,1
malipol,1
kinatatakutang,1
patungo,1
malaya,1
pangingisda,1
paliligo,1
pamamasyal,1
payo,1
rin,1
di,1
nangyari,1
pagkakita,1
kumilos,1
mabilis,1
nakatusok,1
naiwang,1
laot,1
bumalik,1
espada,1
bumaon,1
labanan,1
nakahilerang,1
pagkakatayo,1
naman,1
tumatag,1
dami,1
napansin,1
noong,1
nagaganap,1
nabahala,1
lalim,1
tuhod,1
lumusong,1
mahabang,1
kinaroroonan,1
nagpunta,1
pagkasabi,1
salot,1
lipulin,1
sumasalakay,1
nakabalita,1
kaharian,1
pinuno,1
si,1
tao,1
natutuwa,1
magpunta,1
natakot,1
ilang,1
balita,1
kumalat,1
dumarami,1
lalong,1
nagtatagal,1
manalakay,1
baka,1
silang,1
maglakad,1
natatakot,1
tinatangay,1
sabik,1
hinintay,1
pagsalpok,1
nagsimulang,1
tila,1
nakangiti,1
nangyayari,1
nanonood,1
pagkatalo,1
makapaniwala,1
gulat,1
gulát,1
lason,1
araw,1
palapit,1
pagbabalik,1
hintayin,1
upang,1
ikalawang,1
nasugatan,1
namatay,1
dugo,1
palayo,1
tangayin,1
bangis,1
buong,1
papalapit,1
kapitan,1
sigaw,1
kayo,1
humanda,1
daming,1
patungong,1
nagpakita,1
