Word,Frequency
munting,21
si,13
mo,8
y,7
ginagamit,5
siyang,5
lola,4
minsa,4
ninuno,4
posporo,3
gaya,3
di,3
oksiheno,3
lolo,2
naman,2
pagmulan,2
palito,2
mas,2
pansindi,2
itong,2
kilala,2
dalawang,2
gawain,2
bagay,2
sumisindi,2
malit,2
kahoy,2
alam,2
bang,2
samantala,2
kinikiskis,2
kundi,2
resulta,1
madiskubre,1
ibang,1
katulong,1
mya,1
marikit,1
kabuhayan,1
nagluto,1
ningas,1
gawin,1
umusok,1
pinagmanahan,1
noong,1
araw,1
nang,1
gamit,1
apoy,1
pinagpipingki,1
ginulat,1
sapagkat,1
uminit,1
diklap,1
pagkain,1
lumitaw,1
pagtakhan,1
bato,1
tuyong,1
patpat,1
biglang,1
pampainit,1
tinanglawan,1
pagpapaandar,1
kalan,1
pansiga,1
basura,1
paglilitson,1
pagkukulot,1
pagpaplantsa,1
tatay,1
tren,1
sulo,1
pagpapatakbo,1
bapor,1
pagpapalipad,1
eroplano,1
pasalamatan,1
natin,1
mararanasan,1
kandila,1
gasera,1
gabi,1
hayop,1
madidilim,1
gubat,1
yungib,1
nagulat,1
malamig,1
sandata,1
mababangis,1
pansunog,1
nanay,1
sukal,1
pagtamnan,1
palay,1
gulay,1
naglaon,1
itinuloy,1
magulang,1
kayang,1
tanso,1
sabon,1
nakikita,1
galing,1
tama,1
madalas,1
nitong,1
hayan,1
ikiniskis,1
mama,1
ba,1
mukhang,1
lumalabas,1
posporus,1
samakatuwid,1
nagliliyab,1
gas,1
gasolina,1
petrolyo,1
matandaan,1
init,1
papel,1
galaw,1
masdan,1
kulay,1
pula,1
dilaw,1
kahel,1
asul,1
tingnan,1
gumagapang,1
matindi,1
lumulundag,1
sumasayaw,1
nakaaakit,1
teka,1
hihipuin,1
baka,1
mapaso,1
pulbura,1
napakahalaga,1
paglikha,1
pilak,1
mabigat,1
trabaho,1
halimbawa,1
pagtunawsa,1
matitigas,1
metal,1
bakal,1
tingga,1
lumalaki,1
panluto,1
goma,1
silika,1
silica,1
salamin,1
sangkap,1
niyog,1
nagiging,1
nama,1
buhay,1
lumaki,1
wala,1
mabubuhay,1
tulong,1
lalong,1
lumalakas,1
lumiliksi,1
madali,1
malakas,1
laboratoryo,1
maliksi,1
dumarami,1
panghinang,1
pampakulo,1
likido,1
kemikal,1
planta,1
ginhawang,1
