Word,Frequency
munting,15
si,7
lumundag,4
pagkain,4
sina,4
palay,4
bahay,3
lubak,3
loob,3
silid,3
damit,3
maraming,3
araw,3
amang,3
lakas,3
nakakula,2
kapatid,2
kay,2
bitamina,2
babae,2
bata,2
dakong,2
bibigyan,2
1,2
daigdig,2
lumapag,2
anak,2
kayo,2
misyon,2
yon,1
damo,1
naalis,1
mabahong,1
amoy,1
4,1
ion,1
natulog,1
bukas,1
ninyo,1
ibang,1
init,1
pagod,1
pumuti,1
5,1
matulog,1
nananahi,1
sinag,1
malamlam,1
sapat,1
liwanag,1
natahing,1
lumayo,1
mikrobyo,1
kinagarhan,1
3,1
gagamitinni,1
makatagal,1
gawain,1
maghapon,1
magtungo,1
lumipad,1
kalawakan,1
nagdaan,1
bahaghari,1
bintana,1
sumunod,1
pumasok,1
nagliwanag,1
buong,1
sang,1
maputlang,1
nasa,1
a,1
d,1
inispreyan,1
lumakas,1
2,1
dahon,1
kita,1
sige,1
bunga,1
naghakot,1
sustansiyang,1
mundo,1
