Word,Frequency
pitong,16
dumating,10
aso,9
poso,6
tabi,4
puting,3
bibig,3
basang,3
ulo,2
selyong,2
berde,2
munting,2
noo,2
asong,2
kahel,2
bukang,2
rosas,2
dilaw,2
tabing,2
pulang,2
pepito,2
sastreng,1
pintor,1
pusa,1
tinderong,1
mestiso,1
natatakot,1
manga,1
kubang,1
hardinero,1
kartero,1
punong,1
tapat,1
pulis,1
pito,1
silbato,1
kalbot,1
lasong,1
mabilis,1
pula,1
pagod,1
nakatira,1
bumbero,1
kanto,1
kalbong,1
barbero,1
laso,1
nakalbong,1
galit,1
hilong,1
asul,1
korto,1
kotseng,1
sira,1
tambutso,1
lilang,1
wian,1
tila,1
babagyo,1
tumakbo,1
