Word,Frequency
angelo,19
asul,16
si,16
ason,15
planetang,10
dupong,8
raketsip,8
bituin,7
asma,7
lagi,6
siyang,5
parang,5
planeta,5
sina,5
tao,4
sinalubong,3
lupa,3
takot,3
kaming,3
mabilis,3
mahal,3
alipin,3
langit,3
bagay,3
robot,2
pinuno,2
tila,2
laging,2
ginagabi,2
pagpapastol,2
mahilig,2
umalis,2
kasi,2
ayaw,2
rin,2
nga,2
silang,2
buhay,2
tawag,2
nadaanan,2
ding,2
nagkagulo,1
sundalo,1
natalo,1
matapang,1
sumasalakay,1
magtanggol,1
pastol,1
gawin,1
sakupin,1
giyera,1
kaaway,1
paliwanag,1
sinasalakay,1
lugar,1
saang,1
kanyon,1
malalaking,1
maraming,1
roon,1
baril,1
dalang,1
dinala,1
di,1
sang,1
nalungkot,1
kalayaan,1
mas,1
mamatay,1
nakabalik,1
man,1
malungkot,1
kay,1
nakatingin,1
gawing,1
nagdarasal,1
malaglag,1
muling,1
sana,1
y,1
nakaligtas,1
pati,1
napaiyak,1
kubling,1
sumabog,1
sumakay,1
bumalik,1
kailangang,1
makaligtas,1
kayo,1
kasama,1
problema,1
maliwan,1
ina,1
ama,1
mamamatay,1
lumipad,1
palayo,1
munting,1
paglingon,1
napansin,1
tagaroon,1
makinang,1
kinuwentuhan,1
makapaniwala,1
itinuro,1
halika,1
kaibigan,1
matakot,1
kayong,1
pagtatago,1
nilikha,1
bumabang,1
gilid,1
bumukas,1
katawan,1
bumaon,1
halos,1
malapit,1
bumagsak,1
nagtago,1
bumabagsak,1
papalapit,1
sigaw,1
nahuhulog,1
gumuhit,1
kalabaw,1
maisagot,1
namang,1
kaniyang,1
naitatanong,1
manood,1
madalas,1
pala,1
nasira,1
nagsisilbi,1
napilitang,1
magaan,1
pagkain,1
masarap,1
puro,1
hayop,1
halamang,1
paligid,1
ipinasyal,1
kina,1
magulang,1
paglapag,1
linakbay,1
malayo,1
sandali,1
ilang,1
nina,1
madaanan,1
pangalan,1
itinuturo,1
anyo,1
ibang,1
buwan,1
sinama,1
isinakay,1
pumayag,1
nino,1
isama,1
sasakyang,1
bumaba,1
dalawin,1
