Word,Frequency
del,17
pilar,17
prayle,17
si,16
nang,9
espanya,9
kaniyang,8
siyang,6
filipinas,6
filipino,5
noong,5
di,4
upang,3
buhay,3
espanyol,3
maraming,3
umalis,3
rin,3
marcelo,3
nagpatuloy,2
nagpunta,2
bayan,2
tinawag,2
madalas,2
labis,2
anita,2
nagalit,2
rizal,2
kapangyarihan,2
bagong,2
pangkat,2
dalawang,2
diariong,2
tagalog,2
sumulat,2
ginamit,2
solidaridad,2
nagtagal,2
la,2
makata,2
wala,2
nakaalis,2
malaman,2
kura,2
agad,2
kalagayan,2
makikain,1
aniya,1
pantay,1
karapatan,1
lalawigan,1
ihanda,1
hong,1
binalak,1
pagkakaisa,1
nahati,1
rebolusyon,1
mangampanya,1
filipinong,1
magtayo,1
paniniwala,1
humiling,1
halalan,1
nagbago,1
pamunuan,1
nagkalaban,1
panguluhan,1
magkaroon,1
plaridel,1
bahay,1
sagisag,1
ibilanggo,1
natutupad,1
utos,1
tumakas,1
papuntang,1
mang,1
muna,1
polyetong,1
kumukutya,1
lalong,1
mabasa,1
1896,1
patnugot,1
diyaryong,1
1,1
hulyo,1
barcelona,1
namatay,1
gagawing,1
sina,1
ring,1
unang,1
upos,1
sofia,1
namumulot,1
ama,1
binasag,1
alkansiva,1
ipinadala,1
tanging,1
pisong,1
naiipon,1
naiyak,1
matanggap,1
piso,1
pagkakataong,1
napakahirap,1
pera,1
kaibigan,1
malipasan,1
gutom,1
napipilitan,1
anak,1
dakping,1
botohan,1
mapalaki,1
araw,1
nanalo,1
huling,1
malubha,1
naglaban,1
sama,1
loob,1
naiwan,1
puwestong,1
pangulo,1
magkasakit,1
buhat,1
mahirap,1
mangayayat,1
lamig,1
tsanay,1
nagtrabaho,1
ipanlaban,1
sigarilyo,1
magiging,1
pondo,1
iniutos,1
walong,1
pinsang,1
napangasawa,1
maagang,1
nakagalit,1
minsang,1
binyag,1
nakipagtalo,1
mataas,1
singil,1
ipinahuli,1
taon,1
kay,1
nabilanggo,1
mahinto,1
1880,1
natapos,1
unibersidad,1
santo,1
tomas,1
abogado,1
laging,1
inaatake,1
marciana,1
nakaakit,1
galit,1
hinangaan,1
julian,1
isilang,1
bunso,1
lumaki,1
manunulat,1
dakilang,1
propagandista,1
mabago,1
libangan,1
bata,1
pagtugtog,1
katangian,1
biyolin,1
palasan,1
larong,1
arnis,1
makahigit,1
kahusayan,1
higit,1
magtalumpati,1
umuurong,1
debate,1
bansa,1
frailocracia,1
paghahari,1
1888,1
artikulo,1
pagmamahal,1
pagtitiis,1
isinulat,1
natuwa,1
nakabasa,1
diyaryo,1
ding,1
natakot,1
kakulangan,1
sumama,1
pamahalaang,1
demonstrasyon,1
800,1
pumarada,1
kalye,1
maynila,1
opisina,1
iniharap,1
petisyong,1
humibiling,1
paalisin,1
niva,1
inilathala,1
nahahalata,1
malaya,1
milagroso,1
ba,1
tanong,1
nagtawanan,1
kaharap,1
namula,1
nakulong,1
man,1
ibang,1
bulakan,1
ipaliwanag,1
katiwalian,1
maliliit,1
umpukan,1
nilapitan,1
sabungan,1
pagtalumpatian,1
bukod,1
tao,1
nakapagsasalita,1
rito,1
pangarap,1
